time,N1,N2,N3,N4,N5,N6,N7
5.45,6668.67,3795.13,8370.46,9481.9,9540.91,5217.35,8429.64
5.5,6670.06,3796.52,8371.86,9483.27,9542.3,5218.75,8431.04
5.55,6671.45,3797.91,8373.26,9484.65,9543.69,5220.14,8432.45
5.6,6672.84,3799.31,8374.66,9486.02,9545.07,5221.54,8433.85
5.65,6674.22,3800.7,8376.07,9487.39,9546.46,5222.93,8435.26
5.7,6675.61,3802.09,8377.47,9488.77,9547.85,5224.33,8436.66
5.75,6677,3803.48,8378.87,9490.14,9549.24,5225.72,8438.07
5.8,6678.39,3804.87,8380.27,9491.51,9550.63,5227.12,8439.47
5.85,6679.78,3806.26,8381.67,9492.89,9552.02,5228.51,8440.88
5.9,6681.17,3807.66,8383.07,9494.26,9553.41,5229.9,8442.28
5.95,6682.56,3809.05,8384.47,9495.63,9554.8,5231.3,8443.69
6,6683.95,3810.44,8385.87,9497,9556.19,5232.69,8445.09
6.05,6685.34,3811.83,8387.27,9498.38,9557.57,5234.09,8446.5
6.1,6686.72,3813.22,8388.68,9499.75,9558.96,5235.48,8447.9
6.15,6688.11,3814.62,8390.08,9501.12,9560.35,5236.88,8449.31
6.2,6689.5,3816.01,8391.48,9502.5,9561.74,5238.27,8450.71
6.25,6690.89,3817.4,8392.88,9503.87,9563.13,5239.66,8452.12
6.3,6692.28,3818.79,8394.28,9505.24,9564.52,5241.06,8453.52
6.35,6693.67,3820.18,8395.68,9506.61,9565.91,5242.45,8454.93
6.4,6695.06,3821.57,8397.08,9507.99,9567.3,5243.85,8456.33
6.45,6696.45,3822.97,8398.48,9509.36,9568.69,5245.24,8457.74
6.5,6697.84,3824.36,8399.89,9510.73,9570.07,5246.64,8459.14
6.55,6699.22,3825.75,8401.29,9512.11,9571.46,5248.03,8460.55
6.6,6700.61,3827.14,8402.69,9513.48,9572.85,5249.43,8461.95
6.65,6702,3828.53,8404.09,9514.85,9574.24,5250.82,8463.36
6.7,6703.39,3829.93,8405.49,9516.23,9575.63,5252.21,8464.76
6.75,6704.78,3831.32,8406.89,9517.6,9577.02,5253.61,8466.17
6.8,6706.17,3832.71,8408.29,9518.97,9578.41,5255,8467.57
6.85,6707.56,3834.1,8409.69,9520.34,9579.8,5256.4,8468.98
6.9,6708.95,3835.49,8411.09,9521.72,9581.19,5257.79,8470.38
6.95,6710.34,3836.88,8412.5,9523.09,9582.57,5259.19,8471.79
7,6711.72,3838.28,8413.9,9524.46,9583.96,5260.58,8473.19
7.05,6713.11,3839.67,8415.3,9525.84,9585.35,5261.98,8474.6
7.1,6714.5,3841.06,8416.7,9527.21,9586.74,5263.37,8476
7.15,6715.89,3842.45,8418.1,9528.58,9588.13,5264.76,8477.41
7.2,6717.28,3843.84,8419.5,9529.95,9589.52,5266.16,8478.81
7.25,6718.67,3845.24,8420.9,9531.33,9590.91,5267.55,8480.22
7.3,6720.06,3846.63,8422.3,9532.7,9592.3,5268.95,8481.62
7.35,6721.45,3848.02,8423.7,9534.07,9593.69,5270.34,8483.03
7.4,6722.84,3849.41,8425.11,9535.45,9595.07,5271.74,8484.43
7.45,6724.22,3850.8,8426.51,9536.82,9596.46,5273.13,8485.84
7.5,6725.61,3852.2,8427.91,9538.19,9597.85,5274.53,8487.24
7.55,6727,3853.59,8429.31,9539.56,9599.24,5275.92,8488.65
7.6,6728.39,3854.98,8430.71,9540.94,9600.63,5277.31,8490.05
7.65,6729.78,3856.37,8432.11,9542.31,9602.02,5278.71,8491.46
7.7,6731.17,3857.76,8433.51,9543.68,9603.41,5280.1,8492.86
7.75,6732.56,3859.15,8434.91,9545.06,9604.8,5281.5,8494.27
7.8,6733.95,3860.55,8436.31,9546.43,9606.19,5282.89,8495.67
7.85,6735.34,3861.94,8437.72,9547.8,9607.57,5284.29,8497.08
7.9,6736.72,3863.33,8439.12,9549.18,9608.96,5285.68,8498.48
7.95,6738.11,3864.72,8440.52,9550.55,9610.35,5287.07,8499.89
8,6739.5,3866.11,8441.92,9551.92,9611.74,5288.47,8501.29
8.05,6740.89,3867.51,8443.32,9553.29,9613.13,5289.86,8502.7
8.1,6742.28,3868.9,8444.72,9554.67,9614.52,5291.26,8504.1
8.15,6743.67,3870.29,8446.12,9556.04,9615.91,5292.65,8505.51
8.2,6745.06,3871.68,8447.52,9557.41,9617.3,5294.05,8506.91
8.25,6746.45,3873.07,8448.92,9558.79,9618.69,5295.44,8508.32
8.3,6747.84,3874.46,8450.33,9560.16,9620.07,5296.84,8509.72
8.35,6749.22,3875.86,8451.73,9561.53,9621.46,5298.23,8511.13
8.4,6750.61,3877.25,8453.13,9562.91,9622.85,5299.62,8512.53
8.45,6752,3878.64,8454.53,9564.28,9624.24,5301.02,8513.94
8.5,6753.39,3880.03,8455.93,9565.65,9625.63,5302.41,8515.34
8.55,6754.78,3881.42,8457.33,9567.02,9627.02,5303.81,8516.75
8.6,6756.17,3882.82,8458.73,9568.4,9628.41,5305.2,8518.16
8.65,6757.56,3884.21,8460.13,9569.77,9629.8,5306.6,8519.56
8.7,6758.95,3885.6,8461.54,9571.14,9631.19,5307.99,8520.97
8.75,6760.34,3886.99,8462.94,9572.52,9632.57,5309.39,8522.37
8.8,6761.72,3888.38,8464.34,9573.89,9633.96,5310.78,8523.78
8.85,6763.11,3889.77,8465.74,9575.26,9635.35,5312.17,8525.18
8.9,6764.5,3891.17,8467.14,9576.63,9636.74,5313.57,8526.59
8.95,6765.89,3892.56,8468.54,9578.01,9638.13,5314.96,8527.99
9,6767.28,3893.95,8469.94,9579.38,9639.52,5316.36,8529.4
9.05,6768.67,3895.34,8471.34,9580.75,9640.91,5317.75,8530.8
9.1,6770.06,3896.73,8472.74,9582.13,9642.3,5319.15,8532.21
9.15,6771.45,3898.13,8474.15,9583.5,9643.69,5320.54,8533.61
9.2,6772.84,3899.52,8475.55,9584.87,9645.07,5321.94,8535.02
9.25,6774.22,3900.91,8476.95,9586.25,9646.46,5323.33,8536.42
9.3,6775.61,3902.3,8478.35,9587.62,9647.85,5324.72,8537.83
9.35,6777,3903.69,8479.75,9588.99,9649.24,5326.12,8539.23
9.4,6778.39,3905.09,8481.15,9590.36,9650.63,5327.51,8540.64
9.45,6779.78,3906.48,8482.55,9591.74,9652.02,5328.91,8542.04
9.5,6781.17,3907.87,8483.95,9593.11,9653.41,5330.3,8543.45
9.55,6782.56,3909.26,8485.35,9594.48,9654.8,5331.7,8544.85
9.6,6783.95,3910.65,8486.76,9595.86,9656.19,5333.09,8546.26
9.65,6785.34,3912.04,8488.16,9597.23,9657.57,5334.49,8547.66
9.7,6786.72,3913.44,8489.56,9598.6,9658.96,5335.88,8549.07
9.75,6788.11,3914.83,8490.96,9599.98,9660.35,5337.27,8550.47
9.8,6789.5,3916.22,8492.36,9601.35,9661.74,5338.67,8551.88
9.85,6790.89,3917.61,8493.76,9602.72,9663.13,5340.06,8553.28
9.9,6792.28,3919,8495.16,9604.09,9664.52,5341.46,8554.69
9.95,6793.67,3920.4,8496.56,9605.47,9665.91,5342.85,8556.09
10,6795.06,3921.79,8497.96,9606.84,9667.3,5344.25,8557.5
10.05,6796.45,3923.18,8499.37,9608.21,9668.69,5345.64,8558.9
10.1,6797.84,3924.57,8500.77,9609.59,9670.07,5347.03,8560.31
10.15,6799.22,3925.96,8502.17,9610.96,9671.46,5348.43,8561.71
10.2,6800.61,3927.35,8503.57,9612.33,9672.85,5349.82,8563.12
10.25,6802,3928.75,8504.97,9613.71,9674.24,5351.22,8564.52
10.3,6803.39,3930.14,8506.37,9615.08,9675.63,5352.61,8565.93
10.35,6804.78,3931.53,8507.77,9616.45,9677.02,5354.01,8567.33
10.4,6806.17,3932.92,8509.17,9617.83,9678.41,5355.4,8568.74
10.45,6807.56,3934.31,8510.57,9619.2,9679.8,5356.8,8570.14
10.5,6808.95,3935.71,8511.98,9620.57,9681.19,5358.19,8571.55
10.55,6810.34,3937.1,8513.38,9621.94,9682.57,5359.58,8572.95
10.6,6811.72,3938.49,8514.78,9623.32,9683.96,5360.98,8574.36
10.65,6813.11,3939.88,8516.18,9624.69,9685.35,5362.37,8575.76
10.7,6814.5,3941.27,8517.58,9626.06,9686.74,5363.77,8577.17
10.75,6815.89,3942.67,8518.98,9627.44,9688.13,5365.16,8578.57
10.8,6817.28,3944.06,8520.38,9628.81,9689.52,5366.56,8579.98
10.85,6818.67,3945.45,8521.78,9630.18,9690.91,5367.95,8581.38
10.9,6820.06,3946.84,8523.18,9631.56,9692.3,5369.35,8582.79
10.95,6821.45,3948.23,8524.59,9632.93,9693.69,5370.74,8584.19
11,6822.84,3949.62,8525.99,9634.3,9695.07,5372.13,8585.6
11.05,6824.22,3951.02,8527.39,9635.67,9696.46,5373.53,8587
11.1,6825.61,3952.41,8528.79,9637.05,9697.85,5374.92,8588.41
11.15,6827,3953.8,8530.19,9638.42,9699.24,5376.32,8589.81
11.2,6828.39,3955.19,8531.59,9639.79,9700.63,5377.71,8591.22
11.25,6829.78,3956.58,8532.99,9641.17,9702.02,5379.11,8592.62
11.3,6831.17,3957.98,8534.39,9642.54,9703.41,5380.5,8594.03
11.35,6832.56,3959.37,8535.79,9643.91,9704.8,5381.9,8595.43
