time,N1,N2,N3,N4,N5,N6,N7,N8,N9
6.35,6833.21,5865.06,4650.28,7297.23,478.229,9583.29,246.021,2535.65,3120.72
6.4,6834.62,5866.45,4651.68,7298.62,479.618,9584.68,247.404,2537.05,3122.13
6.45,6836.02,5867.83,4653.07,7300.01,481.007,9586.07,248.787,2538.44,3123.53
6.5,6837.43,5869.22,4654.46,7301.4,482.396,9587.46,250.171,2539.83,3124.93
6.55,6838.83,5870.61,4655.86,7302.8,483.785,9588.85,251.554,2541.22,3126.34
6.6,6840.24,5872,4657.25,7304.19,485.173,9590.23,252.937,2542.61,3127.74
6.65,6841.64,5873.39,4658.65,7305.58,486.562,9591.62,254.32,2544,3129.14
6.7,6843.04,5874.78,4660.04,7306.97,487.951,9593.01,255.703,2545.39,3130.55
6.75,6844.45,5876.17,4661.43,7308.37,489.34,9594.4,257.086,2546.78,3131.95
6.8,6845.85,5877.56,4662.83,7309.76,490.729,9595.79,258.469,2548.17,3133.35
6.85,6847.26,5878.95,4664.22,7311.15,492.118,9597.18,259.852,2549.56,3134.76
6.9,6848.66,5880.33,4665.62,7312.55,493.507,9598.56,261.235,2550.95,3136.16
6.95,6850.06,5881.72,4667.01,7313.94,494.896,9599.95,262.618,2552.34,3137.56
7,6851.47,5883.11,4668.41,7315.33,496.285,9601.34,264.001,2553.73,3138.97
7.05,6852.87,5884.5,4669.8,7316.72,497.673,9602.73,265.384,2555.12,3140.37
7.1,6854.28,5885.89,4671.19,7318.12,499.062,9604.12,266.767,2556.51,3141.78
7.15,6855.68,5887.28,4672.59,7319.51,500.451,9605.51,268.15,2557.9,3143.18
7.2,6857.08,5888.67,4673.98,7320.9,501.84,9606.9,269.534,2559.29,3144.58
7.25,6858.49,5890.06,4675.38,7322.29,503.229,9608.28,270.917,2560.68,3145.99
7.3,6859.89,5891.45,4676.77,7323.69,504.618,9609.67,272.3,2562.07,3147.39
7.35,6861.3,5892.83,4678.16,7325.08,506.007,9611.06,273.683,2563.46,3148.79
7.4,6862.7,5894.22,4679.56,7326.47,507.396,9612.45,275.066,2564.85,3150.2
