time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15
3.25,5039.1,3108.04,973.935,6665.25,7793.31,8597.78,3034.85,9876.61,4073.62,2107.11,5135.32,6843.51,8708.09,570.74,8084.29
3.3,5040.47,3109.44,975.324,6666.62,7794.7,8599.17,3036.24,9878,4075,2108.52,5136.71,6844.91,8709.48,572.145,8085.68
3.35,5041.84,3110.83,976.713,6668,7796.09,8600.57,3037.63,9879.39,4076.39,2109.94,5138.1,6846.31,8710.87,573.549,8087.07
3.4,5043.21,3112.22,978.101,6669.38,7797.48,8601.96,3039.03,9880.78,4077.78,2111.35,5139.49,6847.71,8712.26,574.954,8088.46
3.45,5044.57,3113.62,979.49,6670.75,7798.88,8603.35,3040.42,9882.17,4079.17,2112.76,5140.88,6849.11,8713.65,576.359,8089.85
3.5,5045.94,3115.01,980.879,6672.13,7800.27,8604.74,3041.81,9883.56,4080.56,2114.18,5142.27,6850.5,8715.04,577.763,8091.25
3.55,5047.31,3116.41,982.268,6673.5,7801.66,8606.13,3043.21,9884.95,4081.95,2115.59,5143.65,6851.9,8716.43,579.168,8092.64
3.6,5048.68,3117.8,983.657,6674.88,7803.05,8607.52,3044.6,9886.34,4083.34,2117.01,5145.04,6853.3,8717.82,580.572,8094.03
3.65,5050.04,3119.19,985.046,6676.25,7804.44,8608.91,3046,9887.74,4084.73,2118.42,5146.43,6854.7,8719.2,581.977,8095.42
3.7,5051.41,3120.59,986.435,6677.63,7805.83,8610.3,3047.39,9889.13,4086.11,2119.83,5147.82,6856.1,8720.59,583.381,8096.81
3.75,5052.78,3121.98,987.824,6679,7807.22,8611.69,3048.78,9890.52,4087.5,2121.25,5149.21,6857.5,8721.98,584.786,8098.2
3.8,5054.15,3123.38,989.213,6680.38,7808.61,8613.08,3050.18,9891.91,4088.89,2122.66,5150.6,6858.9,8723.37,586.191,8099.59
3.85,5055.51,3124.77,990.601,6681.75,7810.01,8614.48,3051.57,9893.3,4090.28,2124.07,5151.99,6860.3,8724.76,587.595,8100.98
3.9,5056.88,3126.16,991.99,6683.13,7811.4,8615.87,3052.96,9894.69,4091.67,2125.49,5153.38,6861.7,8726.15,589,8102.37
3.95,5058.25,3127.56,993.379,6684.51,7812.79,8617.26,3054.36,9896.08,4093.06,2126.9,5154.76,6863.1,8727.54,590.404,8103.77
4,5059.62,3128.95,994.768,6685.88,7814.18,8618.65,3055.75,9897.47,4094.45,2128.32,5156.15,6864.5,8728.93,591.809,8105.16
4.05,5060.99,3130.35,996.157,6687.26,7815.57,8620.04,3057.14,9898.87,4095.84,2129.73,5157.54,6865.9,8730.32,593.214,8106.55
4.1,5062.35,3131.74,997.546,6688.63,7816.96,8621.43,3058.54,9900.26,4097.23,2131.14,5158.93,6867.3,8731.7,594.618,8107.94
4.15,5063.72,3133.13,998.935,6690.01,7818.35,8622.82,3059.93,9901.65,4098.61,2132.56,5160.32,6868.7,8733.09,596.023,8109.33
4.2,5065.09,3134.53,1000.32,6691.38,7819.75,8624.21,3061.32,9903.04,4100,2133.97,5161.71,6870.1,8734.48,597.427,8110.72
4.25,5066.46,3135.92,1001.71,6692.76,7821.14,8625.6,3062.72,9904.43,4101.39,2135.39,5163.1,6871.5,8735.87,598.832,8112.11
