time,N1,N2,N3,N4,N5
9.45,8079.89,1837.7,6892.03,7836.89,4314.34
9.5,8081.28,1839.09,6893.43,7838.27,4315.73
9.55,8082.67,1840.49,6894.82,7839.66,4317.12
9.6,8084.06,1841.88,6896.21,7841.04,4318.51
9.65,8085.45,1843.27,6897.6,7842.42,4319.91
9.7,8086.83,1844.67,6898.99,7843.8,4321.3
9.75,8088.22,1846.06,6900.38,7845.18,4322.69
9.8,8089.61,1847.45,6901.78,7846.57,4324.08
9.85,8091,1848.84,6903.17,7847.95,4325.48
9.9,8092.39,1850.24,6904.56,7849.33,4326.87
9.95,8093.78,1851.63,6905.95,7850.71,4328.26
10,8095.17,1853.02,6907.34,7852.1,4329.65
10.05,8096.56,1854.41,6908.73,7853.48,4331.05
10.1,8097.95,1855.81,6910.12,7854.86,4332.44
10.15,8099.33,1857.2,6911.52,7856.24,4333.83
10.2,8100.72,1858.59,6912.91,7857.62,4335.22
10.25,8102.11,1859.99,6914.3,7859.01,4336.62
10.3,8103.5,1861.38,6915.69,7860.39,4338.01
10.35,8104.89,1862.77,6917.08,7861.77,4339.4
10.4,8106.28,1864.16,6918.47,7863.15,4340.79
10.45,8107.67,1865.56,6919.87,7864.54,4342.19
10.5,8109.06,1866.95,6921.26,7865.92,4343.58
10.55,8110.45,1868.34,6922.65,7867.3,4344.97
10.6,8111.83,1869.73,6924.04,7868.68,4346.36
10.65,8113.22,1871.13,6925.43,7870.06,4347.76
10.7,8114.61,1872.52,6926.82,7871.45,4349.15
10.75,8116,1873.91,6928.21,7872.83,4350.54
10.8,8117.39,1875.3,6929.61,7874.21,4351.93
10.85,8118.78,1876.7,6931,7875.59,4353.33
10.9,8120.17,1878.09,6932.39,7876.98,4354.72
10.95,8121.56,1879.48,6933.78,7878.36,4356.11
11,8122.95,1880.88,6935.17,7879.74,4357.5
11.05,8124.33,1882.27,6936.56,7881.12,4358.9
11.1,8125.72,1883.66,6937.96,7882.5,4360.29
11.15,8127.11,1885.05,6939.35,7883.89,4361.68
11.2,8128.5,1886.45,6940.74,7885.27,4363.08
11.25,8129.89,1887.84,6942.13,7886.65,4364.47
11.3,8131.28,1889.23,6943.52,7888.03,4365.86
11.35,8132.67,1890.62,6944.91,7889.42,4367.25
11.4,8134.06,1892.02,6946.3,7890.8,4368.65
11.45,8135.45,1893.41,6947.7,7892.18,4370.04
11.5,8136.83,1894.8,6949.09,7893.56,4371.43
11.55,8138.22,1896.2,6950.48,7894.94,4372.82
11.6,8139.61,1897.59,6951.87,7896.33,4374.22
11.65,8141,1898.98,6953.26,7897.71,4375.61
11.7,8142.39,1900.37,6954.65,7899.09,4377
11.75,8143.78,1901.77,6956.04,7900.47,4378.39
11.8,8145.17,1903.16,6957.44,7901.86,4379.79
11.85,8146.56,1904.55,6958.83,7903.24,4381.18
11.9,8147.95,1905.94,6960.22,7904.62,4382.57
11.95,8149.33,1907.34,6961.61,7906,4383.96
12,8150.72,1908.73,6963,7907.38,4385.36
12.05,8152.11,1910.12,6964.39,7908.77,4386.75
12.1,8153.5,1911.52,6965.79,7910.15,4388.14
12.15,8154.89,1912.91,6967.18,7911.53,4389.53
12.2,8156.28,1914.3,6968.57,7912.91,4390.93
12.25,8157.67,1915.69,6969.96,7914.3,4392.32
12.3,8159.06,1917.09,6971.35,7915.68,4393.71
12.35,8160.45,1918.48,6972.74,7917.06,4395.1
12.4,8161.83,1919.87,6974.13,7918.44,4396.5
12.45,8163.22,1921.26,6975.53,7919.82,4397.89
12.5,8164.61,1922.66,6976.92,7921.21,4399.28
12.55,8166,1924.05,6978.31,7922.59,4400.67
12.6,8167.39,1925.44,6979.7,7923.97,4402.07
12.65,8168.78,1926.84,6981.09,7925.35,4403.46
12.7,8170.17,1928.23,6982.48,7926.74,4404.85
12.75,8171.56,1929.62,6983.88,7928.12,4406.24
12.8,8172.95,1931.01,6985.27,7929.5,4407.64
12.85,8174.33,1932.41,6986.66,7930.88,4409.03
12.9,8175.72,1933.8,6988.05,7932.27,4410.42
12.95,8177.11,1935.19,6989.44,7933.65,4411.81
13,8178.5,1936.58,6990.83,7935.03,4413.21
13.05,8179.89,1937.98,6992.22,7936.41,4414.6
13.1,8181.28,1939.37,6993.62,7937.79,4415.99
13.15,8182.67,1940.76,6995.01,7939.18,4417.38
13.2,8184.06,1942.16,6996.4,7940.56,4418.78
13.25,8185.45,1943.55,6997.79,7941.94,4420.17
13.3,8186.83,1944.94,6999.18,7943.32,4421.56
13.35,8188.22,1946.33,7000.57,7944.71,4422.95
13.4,8189.61,1947.73,7001.97,7946.09,4424.35
13.45,8191,1949.12,7003.36,7947.47,4425.74
13.5,8192.39,1950.51,7004.75,7948.85,4427.13
13.55,8193.78,1951.9,7006.14,7950.23,4428.52
13.6,8195.17,1953.3,7007.53,7951.62,4429.92
13.65,8196.56,1954.69,7008.92,7953,4431.31
13.7,8197.95,1956.08,7010.31,7954.38,4432.7
13.75,8199.33,1957.48,7011.71,7955.76,4434.09
13.8,8200.72,1958.87,7013.1,7957.15,4435.49
13.85,8202.11,1960.26,7014.49,7958.53,4436.88
13.9,8203.5,1961.65,7015.88,7959.91,4438.27
13.95,8204.89,1963.05,7017.27,7961.29,4439.66
14,8206.28,1964.44,7018.66,7962.68,4441.06
14.05,8207.67,1965.83,7020.05,7964.06,4442.45
14.1,8209.06,1967.22,7021.45,7965.44,4443.84
14.15,8210.45,1968.62,7022.84,7966.82,4445.23
14.2,8211.83,1970.01,7024.23,7968.2,4446.63
14.25,8213.22,1971.4,7025.62,7969.59,4448.02
14.3,8214.61,1972.8,7027.01,7970.97,4449.41
14.35,8216,1974.19,7028.4,7972.35,4450.8
14.4,8217.39,1975.58,7029.8,7973.73,4452.2
14.45,8218.78,1976.97,7031.19,7975.12,4453.59
14.5,8220.17,1978.37,7032.58,7976.5,4454.98
14.55,8221.56,1979.76,7033.97,7977.88,4456.37
14.6,8222.95,1981.15,7035.36,7979.26,4457.77
14.65,8224.33,1982.54,7036.75,7980.64,4459.16
14.7,8225.72,1983.94,7038.14,7982.03,4460.55
14.75,8227.11,1985.33,7039.54,7983.41,4461.94
14.8,8228.5,1986.72,7040.93,7984.79,4463.34
14.85,8229.89,1988.12,7042.32,7986.17,4464.73
14.9,8231.28,1989.51,7043.71,7987.56,4466.12
14.95,8232.67,1990.9,7045.1,7988.94,4467.51
15,8234.06,1992.29,7046.49,7990.32,4468.91
15.05,8235.45,1993.69,7047.89,7991.7,4470.3
15.1,8236.83,1995.08,7049.28,7993.09,4471.69
15.15,8238.22,1996.47,7050.67,7994.47,4473.08
15.2,8239.61,1997.86,7052.06,7995.85,4474.48
15.25,8241,1999.26,7053.45,7997.23,4475.87
15.3,8242.39,2000.65,7054.84,7998.61,4477.26
15.35,8243.78,2002.04,7056.23,8000,4478.65
15.4,8245.17,2003.43,7057.63,8001.38,4480.05
15.45,8246.56,2004.83,7059.02,8002.76,4481.44
15.5,8247.95,2006.22,7060.41,8004.14,4482.83
15.55,8249.33,2007.61,7061.8,8005.53,4484.22
15.6,8250.72,2009.01,7063.19,8006.91,4485.62
15.65,8252.11,2010.4,7064.58,8008.29,4487.01
15.7,8253.5,2011.79,7065.97,8009.67,4488.4
15.75,8254.89,2013.18,7067.37,8011.05,4489.79
15.8,8256.28,2014.58,7068.76,8012.44,4491.19
15.85,8257.67,2015.97,7070.15,8013.82,4492.58
15.9,8259.06,2017.36,7071.54,8015.2,4493.97
15.95,8260.45,2018.75,7072.93,8016.58,4495.36
16,8261.83,2020.15,7074.32,8017.97,4496.76
16.05,8263.22,2021.54,7075.72,8019.35,4498.15
16.1,8264.61,2022.93,7077.11,8020.73,4499.54
16.15,8266,2024.33,7078.5,8022.11,4500.93
16.2,8267.39,2025.72,7079.89,8023.5,4502.33
16.25,8268.78,2027.11,7081.28,8024.88,4503.72
16.3,8270.17,2028.5,7082.67,8026.26,4505.11
16.35,8271.56,2029.9,7084.06,8027.64,4506.5
16.4,8272.95,2031.29,7085.46,8029.02,4507.9
16.45,8274.33,2032.68,7086.85,8030.41,4509.29
16.5,8275.72,2034.07,7088.24,8031.79,4510.68
16.55,8277.11,2035.47,7089.63,8033.17,4512.07
16.6,8278.5,2036.86,7091.02,8034.55,4513.47
16.65,8279.89,2038.25,7092.41,8035.94,4514.86
16.7,8281.28,2039.65,7093.81,8037.32,4516.25
16.75,8282.67,2041.04,7095.2,8038.7,4517.64
16.8,8284.06,2042.43,7096.59,8040.08,4519.04
16.85,8285.45,2043.82,7097.98,8041.47,4520.43
16.9,8286.83,2045.22,7099.37,8042.85,4521.82
16.95,8288.22,2046.61,7100.76,8044.23,4523.21
17,8289.61,2048,7102.15,8045.61,4524.61
17.05,8291,2049.39,7103.55,8046.99,4526
17.1,8292.39,2050.79,7104.94,8048.38,4527.39
17.15,8293.78,2052.18,7106.33,8049.76,4528.78
17.2,8295.17,2053.57,7107.72,8051.14,4530.18
17.25,8296.56,2054.97,7109.11,8052.52,4531.57
17.3,8297.95,2056.36,7110.5,8053.91,4532.96
17.35,8299.33,2057.75,7111.89,8055.29,4534.35
17.4,8300.72,2059.14,7113.29,8056.67,4535.75
17.45,8302.11,2060.54,7114.68,8058.05,4537.14
17.5,8303.5,2061.93,7116.07,8059.44,4538.53
17.55,8304.89,2063.32,7117.46,8060.82,4539.92
17.6,8306.28,2064.71,7118.85,8062.2,4541.32
17.65,8307.67,2066.11,7120.24,8063.58,4542.71
17.7,8309.06,2067.5,7121.64,8064.96,4544.1
17.75,8310.45,2068.89,7123.03,8066.35,4545.49
17.8,8311.83,2070.29,7124.42,8067.73,4546.89
17.85,8313.22,2071.68,7125.81,8069.11,4548.28
17.9,8314.61,2073.07,7127.2,8070.49,4549.67
17.95,8316,2074.46,7128.59,8071.88,4551.06
18,8317.39,2075.86,7129.98,8073.26,4552.46
18.05,8318.78,2077.25,7131.38,8074.64,4553.85
18.1,8320.17,2078.64,7132.77,8076.02,4555.24
18.15,8321.56,2080.03,7134.16,8077.4,4556.63
18.2,8322.95,2081.43,7135.55,8078.79,4558.03
18.25,8324.33,2082.82,7136.94,8080.17,4559.42
18.3,8325.72,2084.21,7138.33,8081.55,4560.81
18.35,8327.11,2085.6,7139.72,8082.93,4562.2
18.4,8328.5,2087,7141.12,8084.32,4563.6
18.45,8329.89,2088.39,7142.51,8085.7,4564.99
18.5,8331.28,2089.78,7143.9,8087.08,4566.38
18.55,8332.67,2091.18,7145.29,8088.46,4567.77
18.6,8334.06,2092.57,7146.68,8089.85,4569.17
18.65,8335.45,2093.96,7148.07,8091.23,4570.56
18.7,8336.83,2095.35,7149.47,8092.61,4571.95
18.75,8338.22,2096.75,7150.86,8093.99,4573.34
18.8,8339.61,2098.14,7152.25,8095.38,4574.74
18.85,8341,2099.53,7153.64,8096.76,4576.13
18.9,8342.39,2100.92,7155.03,8098.14,4577.52
18.95,8343.78,2102.32,7156.42,8099.52,4578.91
19,8345.17,2103.71,7157.81,8100.9,4580.31
19.05,8346.56,2105.1,7159.21,8102.29,4581.7
19.1,8347.95,2106.5,7160.6,8103.67,4583.09
19.15,8349.33,2107.89,7161.99,8105.05,4584.48
19.2,8350.72,2109.28,7163.38,8106.43,4585.88
19.25,8352.11,2110.67,7164.77,8107.82,4587.27
19.3,8353.5,2112.07,7166.16,8109.2,4588.66
19.35,8354.89,2113.46,7167.55,8110.58,4590.05
19.4,8356.28,2114.85,7168.95,8111.96,4591.45
19.45,8357.67,2116.24,7170.34,8113.35,4592.84
19.5,8359.06,2117.64,7171.73,8114.73,4594.23
19.55,8360.45,2119.03,7173.12,8116.11,4595.63
19.6,8361.83,2120.42,7174.51,8117.49,4597.02
19.65,8363.22,2121.82,7175.9,8118.87,4598.41
19.7,8364.61,2123.21,7177.3,8120.26,4599.8
19.75,8366,2124.6,7178.69,8121.64,4601.2
19.8,8367.39,2125.99,7180.08,8123.02,4602.59
19.85,8368.78,2127.39,7181.47,8124.4,4603.98
19.9,8370.17,2128.78,7182.86,8125.79,4605.37
19.95,8371.56,2130.17,7184.25,8127.17,4606.77
20,8372.95,2131.56,7185.64,8128.55,4608.16
20.05,8374.33,2132.96,7187.04,8129.93,4609.55
20.1,8375.72,2134.35,7188.43,8131.32,4610.94
20.15,8377.11,2135.74,7189.82,8132.7,4612.34
20.2,8378.5,2137.14,7191.21,8134.08,4613.73
20.25,8379.89,2138.53,7192.6,8135.46,4615.12
20.3,8381.28,2139.92,7193.99,8136.84,4616.51
20.35,8382.67,2141.31,7195.39,8138.23,4617.91
20.4,8384.06,2142.71,7196.78,8139.61,4619.3
20.45,8385.45,2144.1,7198.17,8140.99,4620.69
20.5,8386.83,2145.49,7199.56,8142.37,4622.08
20.55,8388.22,2146.88,7200.95,8143.76,4623.48
20.6,8389.61,2148.28,7202.34,8145.14,4624.87
20.65,8391,2149.67,7203.73,8146.52,4626.26
20.7,8392.39,2151.06,7205.13,8147.9,4627.65
20.75,8393.78,2152.45,7206.52,8149.29,4629.05
20.8,8395.17,2153.85,7207.91,8150.67,4630.44
20.85,8396.56,2155.24,7209.3,8152.05,4631.83
20.9,8397.95,2156.63,7210.69,8153.43,4633.22
20.95,8399.33,2158.03,7212.08,8154.82,4634.62
21,8400.72,2159.42,7213.47,8156.2,4636.01
21.05,8402.11,2160.81,7214.87,8157.58,4637.4
21.1,8403.5,2162.2,7216.26,8158.96,4638.79
21.15,8404.89,2163.6,7217.65,8160.34,4640.19
21.2,8406.28,2164.99,7219.04,8161.73,4641.58
21.25,8407.67,2166.38,7220.43,8163.11,4642.97
21.3,8409.06,2167.77,7221.82,8164.49,4644.36
21.35,8410.45,2169.17,7223.22,8165.87,4645.76
21.4,8411.83,2170.56,7224.61,8167.26,4647.15
21.45,8413.22,2171.95,7226,8168.64,4648.54
21.5,8414.61,2173.35,7227.39,8170.02,4649.93
21.55,8416,2174.74,7228.78,8171.4,4651.33
21.6,8417.39,2176.13,7230.17,8172.79,4652.72
21.65,8418.78,2177.52,7231.56,8174.17,4654.11
21.7,8420.17,2178.92,7232.96,8175.55,4655.5
21.75,8421.56,2180.31,7234.35,8176.93,4656.9
21.8,8422.95,2181.7,7235.74,8178.31,4658.29
21.85,8424.33,2183.09,7237.13,8179.7,4659.68
21.9,8425.72,2184.49,7238.52,8181.08,4661.07
21.95,8427.11,2185.88,7239.91,8182.46,4662.47
22,8428.5,2187.27,7241.3,8183.84,4663.86
22.05,8429.89,2188.67,7242.7,8185.23,4665.25
22.1,8431.28,2190.06,7244.09,8186.61,4666.64
22.15,8432.67,2191.45,7245.48,8187.99,4668.04
22.2,8434.06,2192.84,7246.87,8189.37,4669.43
22.25,8435.45,2194.24,7248.26,8190.76,4670.82
22.3,8436.83,2195.63,7249.65,8192.14,4672.21
22.35,8438.22,2197.02,7251.05,8193.52,4673.61
22.4,8439.61,2198.41,7252.44,8194.9,4675
22.45,8441,2199.81,7253.83,8196.29,4676.39
22.5,8442.39,2201.2,7255.22,8197.67,4677.78
22.55,8443.78,2202.59,7256.61,8199.05,4679.18
22.6,8445.17,2203.98,7258,8200.43,4680.57
22.65,8446.56,2205.38,7259.39,8201.81,4681.96
22.7,8447.95,2206.77,7260.79,8203.2,4683.35
22.75,8449.33,2208.16,7262.18,8204.58,4684.75
22.8,8450.72,2209.56,7263.57,8205.96,4686.14
22.85,8452.11,2210.95,7264.96,8207.34,4687.53
22.9,8453.5,2212.34,7266.35,8208.73,4688.92
22.95,8454.89,2213.73,7267.74,8210.11,4690.32
23,8456.28,2215.13,7269.13,8211.49,4691.71
23.05,8457.67,2216.52,7270.53,8212.87,4693.1
23.1,8459.06,2217.91,7271.92,8214.26,4694.49
