time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21
2,7693.65,2628.61,7526.29,3765.33,2233.14,7880.96,5754.11,8334.17,6195.36,8152.26,6593.17,6784.56,770.889,2820.71,2114.81,437.69,7296.78,1105.83,8533.6,5229.08,4108.18
2.05,7695.04,2630.01,7527.67,3766.72,2234.53,7882.35,5755.5,8335.55,6196.75,8153.65,6594.56,6785.95,772.303,2822.1,2116.18,439.085,7298.17,1107.22,8534.99,5230.47,4109.58
2.1,7696.42,2631.4,7529.06,3768.11,2235.92,7883.74,5756.89,8336.93,6198.14,8155.03,6595.95,6787.34,773.716,2823.49,2117.55,440.48,7299.56,1108.61,8536.38,5231.86,4110.97
2.15,7697.8,2632.8,7530.45,3769.5,2237.31,7885.13,5758.29,8338.31,6199.54,8156.42,6597.34,6788.73,775.13,2824.88,2118.92,441.876,7300.95,1110,8537.77,5233.25,4112.36
2.2,7699.18,2634.2,7531.84,3770.89,2238.7,7886.52,5759.68,8339.69,6200.93,8157.81,6598.73,6790.12,776.543,2826.27,2120.3,443.271,7302.34,1111.39,8539.16,5234.65,4113.75
2.25,7700.56,2635.6,7533.23,3772.29,2240.09,7887.91,5761.07,8341.07,6202.32,8159.2,6600.13,6791.51,777.957,2827.65,2121.67,444.666,7303.73,1112.77,8540.54,5236.04,4115.14
2.3,7701.95,2637,7534.62,3773.68,2241.48,7889.3,5762.46,8342.45,6203.71,8160.59,6601.52,6792.9,779.37,2829.04,2123.04,446.061,7305.12,1114.16,8541.93,5237.43,4116.53
2.35,7703.33,2638.4,7536.01,3775.07,2242.86,7890.69,5763.85,8343.83,6205.1,8161.98,6602.91,6794.29,780.783,2830.43,2124.41,447.456,7306.51,1115.55,8543.32,5238.82,4117.93
2.4,7704.71,2639.8,7537.4,3776.46,2244.25,7892.08,5765.24,8345.2,6206.49,8163.37,6604.3,6795.68,782.197,2831.82,2125.79,448.851,7307.89,1116.94,8544.71,5240.21,4119.32
2.45,7706.09,2641.2,7538.79,3777.85,2245.64,7893.47,5766.64,8346.58,6207.88,8164.75,6605.69,6797.07,783.61,2833.21,2127.16,450.246,7309.28,1118.33,8546.1,5241.6,4120.71
2.5,7707.47,2642.6,7540.17,3779.24,2247.03,7894.86,5768.03,8347.96,6209.27,8166.14,6607.08,6798.46,785.024,2834.6,2128.53,451.642,7310.67,1119.72,8547.49,5243,4122.1
2.55,7708.85,2643.99,7541.56,3780.64,2248.42,7896.25,5769.42,8349.34,6210.67,8167.53,6608.47,6799.85,786.437,2835.99,2129.9,453.037,7312.06,1121.11,8548.88,5244.39,4123.49
2.6,7710.24,2645.39,7542.95,3782.03,2249.81,7897.64,5770.81,8350.72,6212.06,8168.92,6609.86,6801.24,787.851,2837.38,2131.28,454.432,7313.45,1122.5,8550.27,5245.78,4124.88
2.65,7711.62,2646.79,7544.34,3783.42,2251.2,7899.03,5772.2,8352.1,6213.45,8170.31,6611.25,6802.63,789.264,2838.77,2132.65,455.827,7314.84,1123.88,8551.66,5247.17,4126.28
2.7,7713,2648.19,7545.73,3784.81,2252.59,7900.42,5773.59,8353.48,6214.84,8171.7,6612.65,6804.02,790.678,2840.15,2134.02,457.222,7316.23,1125.27,8553.04,5248.56,4127.67
2.75,7714.38,2649.59,7547.12,3786.2,2253.98,7901.81,5774.98,8354.86,6216.23,8173.09,6614.04,6805.41,792.091,2841.54,2135.39,458.617,7317.62,1126.66,8554.43,5249.95,4129.06
2.8,7715.76,2650.99,7548.51,3787.6,2255.36,7903.2,5776.38,8356.23,6217.62,8174.47,6615.43,6806.8,793.505,2842.93,2136.77,460.012,7319.01,1128.05,8555.82,5251.35,4130.45
2.85,7717.15,2652.39,7549.9,3788.99,2256.75,7904.59,5777.77,8357.61,6219.01,8175.86,6616.82,6808.19,794.918,2844.32,2138.14,461.408,7320.39,1129.44,8557.21,5252.74,4131.84
2.9,7718.53,2653.79,7551.28,3790.38,2258.14,7905.98,5779.16,8358.99,6220.4,8177.25,6618.21,6809.59,796.331,2845.71,2139.51,462.803,7321.78,1130.83,8558.6,5254.13,4133.24
2.95,7719.91,2655.19,7552.67,3791.77,2259.53,7907.37,5780.55,8360.37,6221.79,8178.64,6619.6,6810.98,797.745,2847.1,2140.89,464.198,7323.17,1132.22,8559.99,5255.52,4134.63
3,7721.29,2656.59,7554.06,3793.16,2260.92,7908.76,5781.94,8361.75,6223.19,8180.03,6620.99,6812.37,799.158,2848.49,2142.26,465.593,7324.56,1133.61,8561.38,5256.91,4136.02
3.05,7722.67,2657.98,7555.45,3794.55,2262.31,7910.15,5783.33,8363.13,6224.58,8181.42,6622.38,6813.76,800.572,2849.88,2143.63,466.988,7325.95,1134.99,8562.77,5258.31,4137.41
3.1,7724.06,2659.38,7556.84,3795.95,2263.7,7911.54,5784.73,8364.51,6225.97,8182.81,6623.77,6815.15,801.985,2851.27,2145,468.383,7327.34,1136.38,8564.16,5259.7,4138.8
3.15,7725.44,2660.78,7558.23,3797.34,2265.09,7912.93,5786.12,8365.89,6227.36,8184.19,6625.17,6816.54,803.399,2852.65,2146.38,469.778,7328.73,1137.77,8565.54,5261.09,4140.19
3.2,7726.82,2662.18,7559.62,3798.73,2266.48,7914.32,5787.51,8367.26,6228.75,8185.58,6626.56,6817.93,804.812,2854.04,2147.75,471.173,7330.12,1139.16,8566.93,5262.48,4141.59
3.25,7728.2,2663.58,7561.01,3800.12,2267.86,7915.71,5788.9,8368.64,6230.14,8186.97,6627.95,6819.32,806.226,2855.43,2149.12,472.569,7331.51,1140.55,8568.32,5263.87,4142.98
3.3,7729.58,2664.98,7562.4,3801.51,2269.25,7917.1,5790.29,8370.02,6231.53,8188.36,6629.34,6820.71,807.639,2856.82,2150.49,473.964,7332.89,1141.94,8569.71,5265.26,4144.37
3.35,7730.97,2666.38,7563.78,3802.9,2270.64,7918.49,5791.68,8371.4,6232.92,8189.75,6630.73,6822.1,809.053,2858.21,2151.87,475.359,7334.28,1143.33,8571.1,5266.66,4145.76
3.4,7732.35,2667.78,7565.17,3804.3,2272.03,7919.88,5793.08,8372.78,6234.31,8191.14,6632.12,6823.49,810.466,2859.6,2153.24,476.754,7335.67,1144.72,8572.49,5268.05,4147.15
3.45,7733.73,2669.18,7566.56,3805.69,2273.42,7921.27,5794.47,8374.16,6235.71,8192.53,6633.51,6824.88,811.88,2860.99,2154.61,478.149,7337.06,1146.1,8573.88,5269.44,4148.54
3.5,7735.11,2670.57,7567.95,3807.08,2274.81,7922.66,5795.86,8375.54,6237.1,8193.91,6634.9,6826.27,813.293,2862.38,2155.98,479.544,7338.45,1147.49,8575.27,5270.83,4149.94
3.55,7736.49,2671.97,7569.34,3808.47,2276.2,7924.05,5797.25,8376.91,6238.49,8195.3,6636.29,6827.66,814.706,2863.77,2157.36,480.939,7339.84,1148.88,8576.66,5272.22,4151.33
3.6,7737.88,2673.37,7570.73,3809.86,2277.59,7925.44,5798.64,8378.29,6239.88,8196.69,6637.69,6829.05,816.12,2865.15,2158.73,482.335,7341.23,1150.27,8578.04,5273.61,4152.72
3.65,7739.26,2674.77,7572.12,3811.26,2278.98,7926.83,5800.03,8379.67,6241.27,8198.08,6639.08,6830.44,817.533,2866.54,2160.1,483.73,7342.62,1151.66,8579.43,5275.01,4154.11
3.7,7740.64,2676.17,7573.51,3812.65,2280.36,7928.22,5801.43,8381.05,6242.66,8199.47,6640.47,6831.83,818.947,2867.93,2161.48,485.125,7344.01,1153.05,8580.82,5276.4,4155.5
3.75,7742.02,2677.57,7574.9,3814.04,2281.75,7929.61,5802.82,8382.43,6244.05,8200.86,6641.86,6833.22,820.36,2869.32,2162.85,486.52,7345.4,1154.44,8582.21,5277.79,4156.89
3.8,7743.4,2678.97,7576.28,3815.43,2283.14,7931,5804.21,8383.81,6245.44,8202.25,6643.25,6834.61,821.774,2870.71,2164.22,487.915,7346.78,1155.83,8583.6,5279.18,4158.29
3.85,7744.78,2680.37,7577.67,3816.82,2284.53,7932.39,5805.6,8385.19,6246.83,8203.63,6644.64,6836.01,823.187,2872.1,2165.59,489.31,7348.17,1157.21,8584.99,5280.57,4159.68
3.9,7746.17,2681.77,7579.06,3818.21,2285.92,7933.78,5806.99,8386.57,6248.23,8205.02,6646.03,6837.4,824.601,2873.49,2166.97,490.705,7349.56,1158.6,8586.38,5281.96,4161.07
