time,N1,N2,N3,N4,N5,N6,N7,N8
5.6,3957.13,9210.79,110.447,4901.98,9968.75,4196.95,1923.33,9001.95
5.65,3958.52,9212.18,111.836,4903.38,9970.14,4198.34,1924.72,9003.33
5.7,3959.91,9213.57,113.225,4904.78,9971.53,4199.73,1926.11,9004.71
5.75,3961.3,9214.96,114.613,4906.18,9972.92,4201.11,1927.51,9006.09
5.8,3962.69,9216.34,116.002,4907.58,9974.31,4202.5,1928.9,9007.47
5.85,3964.08,9217.73,117.391,4908.98,9975.71,4203.89,1930.29,9008.85
5.9,3965.47,9219.12,118.78,4910.38,9977.1,4205.28,1931.68,9010.23
5.95,3966.86,9220.51,120.169,4911.79,9978.49,4206.67,1933.07,9011.61
6,3968.25,9221.9,121.558,4913.19,9979.88,4208.06,1934.46,9013
6.05,3969.64,9223.29,122.947,4914.59,9981.28,4209.45,1935.85,9014.38
6.1,3971.03,9224.68,124.336,4915.99,9982.67,4210.84,1937.24,9015.76
6.15,3972.42,9226.07,125.725,4917.39,9984.06,4212.23,1938.63,9017.14
6.2,3973.81,9227.46,127.113,4918.79,9985.45,4213.61,1940.02,9018.52
6.25,3975.2,9228.84,128.502,4920.19,9986.84,4215,1941.42,9019.9
6.3,3976.59,9230.23,129.891,4921.6,9988.24,4216.39,1942.81,9021.28
6.35,3977.98,9231.62,131.28,4923,9989.63,4217.78,1944.2,9022.66
6.4,3979.37,9233.01,132.669,4924.4,9991.02,4219.17,1945.59,9024.04
6.45,3980.76,9234.4,134.058,4925.8,9992.41,4220.56,1946.98,9025.42
6.5,3982.14,9235.79,135.447,4927.2,9993.8,4221.95,1948.37,9026.8
6.55,3983.53,9237.18,136.836,4928.6,9995.2,4223.34,1949.76,9028.18
6.6,3984.92,9238.57,138.225,4930,9996.59,4224.73,1951.15,9029.56
6.65,3986.31,9239.96,139.613,4931.41,9997.98,4226.11,1952.54,9030.94
6.7,3987.7,9241.34,141.002,4932.81,9999.37,4227.5,1953.93,9032.32
6.75,3989.09,9242.73,142.391,4934.21,0.763247,4228.89,1955.33,9033.7
6.8,3990.48,9244.12,143.78,4935.61,2.15526,4230.28,1956.72,9035.08
6.85,3991.87,9245.51,145.169,4937.01,3.54727,4231.67,1958.11,9036.46
6.9,3993.26,9246.9,146.558,4938.41,4.93928,4233.06,1959.5,9037.84
6.95,3994.65,9248.29,147.947,4939.82,6.3313,4234.45,1960.89,9039.22
7,3996.04,9249.68,149.336,4941.22,7.72331,4235.84,1962.28,9040.6
7.05,3997.43,9251.07,150.725,4942.62,9.11532,4237.23,1963.67,9041.98
7.1,3998.82,9252.46,152.113,4944.02,10.5073,4238.61,1965.06,9043.36
7.15,4000.21,9253.84,153.502,4945.42,11.8993,4240,1966.45,9044.74
7.2,4001.6,9255.23,154.891,4946.82,13.2914,4241.39,1967.84,9046.12
7.25,4002.99,9256.62,156.28,4948.22,14.6834,4242.78,1969.24,9047.5
7.3,4004.38,9258.01,157.669,4949.63,16.0754,4244.17,1970.63,9048.88
7.35,4005.77,9259.4,159.058,4951.03,17.4674,4245.56,1972.02,9050.26
7.4,4007.16,9260.79,160.447,4952.43,18.8594,4246.95,1973.41,9051.64
7.45,4008.55,9262.18,161.836,4953.83,20.2514,4248.34,1974.8,9053.02
7.5,4009.93,9263.57,163.225,4955.23,21.6434,4249.73,1976.19,9054.41
7.55,4011.32,9264.96,164.613,4956.63,23.0354,4251.11,1977.58,9055.79
7.6,4012.71,9266.34,166.002,4958.03,24.4274,4252.5,1978.97,9057.17
7.65,4014.1,9267.73,167.391,4959.44,25.8195,4253.89,1980.36,9058.55
7.7,4015.49,9269.12,168.78,4960.84,27.2115,4255.28,1981.75,9059.93
7.75,4016.88,9270.51,170.169,4962.24,28.6035,4256.67,1983.15,9061.31
7.8,4018.27,9271.9,171.558,4963.64,29.9955,4258.06,1984.54,9062.69
7.85,4019.66,9273.29,172.947,4965.04,31.3875,4259.45,1985.93,9064.07
7.9,4021.05,9274.68,174.336,4966.44,32.7795,4260.84,1987.32,9065.45
7.95,4022.44,9276.07,175.725,4967.84,34.1715,4262.23,1988.71,9066.83
8,4023.83,9277.46,177.113,4969.25,35.5635,4263.61,1990.1,9068.21
8.05,4025.22,9278.84,178.502,4970.65,36.9555,4265,1991.49,9069.59
8.1,4026.61,9280.23,179.891,4972.05,38.3475,4266.39,1992.88,9070.97
8.15,4028,9281.62,181.28,4973.45,39.7395,4267.78,1994.27,9072.35
8.2,4029.39,9283.01,182.669,4974.85,41.1316,4269.17,1995.66,9073.73
8.25,4030.78,9284.4,184.058,4976.25,42.5236,4270.56,1997.06,9075.11
8.3,4032.17,9285.79,185.447,4977.65,43.9156,4271.95,1998.45,9076.49
8.35,4033.56,9287.18,186.836,4979.06,45.3076,4273.34,1999.84,9077.87
8.4,4034.95,9288.57,188.225,4980.46,46.6996,4274.73,2001.23,9079.25
8.45,4036.34,9289.96,189.613,4981.86,48.0916,4276.11,2002.62,9080.63
8.5,4037.72,9291.34,191.002,4983.26,49.4836,4277.5,2004.01,9082.01
8.55,4039.11,9292.73,192.391,4984.66,50.8756,4278.89,2005.4,9083.39
8.6,4040.5,9294.12,193.78,4986.06,52.2676,4280.28,2006.79,9084.77
8.65,4041.89,9295.51,195.169,4987.46,53.6596,4281.67,2008.18,9086.15
8.7,4043.28,9296.9,196.558,4988.87,55.0516,4283.06,2009.58,9087.53
8.75,4044.67,9298.29,197.947,4990.27,56.4436,4284.45,2010.97,9088.91
8.8,4046.06,9299.68,199.336,4991.67,57.8357,4285.84,2012.36,9090.29
8.85,4047.45,9301.07,200.725,4993.07,59.2277,4287.23,2013.75,9091.67
8.9,4048.84,9302.46,202.113,4994.47,60.6197,4288.61,2015.14,9093.06
8.95,4050.23,9303.84,203.502,4995.87,62.0117,4290,2016.53,9094.44
9,4051.62,9305.23,204.891,4997.27,63.4037,4291.39,2017.92,9095.82
9.05,4053.01,9306.62,206.28,4998.68,64.7957,4292.78,2019.31,9097.2
9.1,4054.4,9308.01,207.669,5000.08,66.1877,4294.17,2020.7,9098.58
9.15,4055.79,9309.4,209.058,5001.48,67.5797,4295.56,2022.09,9099.96
9.2,4057.18,9310.79,210.447,5002.88,68.9717,4296.95,2023.49,9101.34
9.25,4058.57,9312.18,211.836,5004.28,70.3637,4298.34,2024.88,9102.72
9.3,4059.96,9313.57,213.225,5005.68,71.7557,4299.73,2026.27,9104.1
9.35,4061.35,9314.96,214.613,5007.08,73.1477,4301.11,2027.66,9105.48
9.4,4062.74,9316.34,216.002,5008.49,74.5397,4302.5,2029.05,9106.86
9.45,4064.13,9317.73,217.391,5009.89,75.9317,4303.89,2030.44,9108.24
9.5,4065.51,9319.12,218.78,5011.29,77.3237,4305.28,2031.83,9109.62
9.55,4066.9,9320.51,220.169,5012.69,78.7158,4306.67,2033.22,9111
9.6,4068.29,9321.9,221.558,5014.09,80.1078,4308.06,2034.61,9112.38
9.65,4069.68,9323.29,222.947,5015.49,81.4998,4309.45,2036,9113.76
9.7,4071.07,9324.68,224.336,5016.89,82.8918,4310.84,2037.4,9115.14
9.75,4072.46,9326.07,225.725,5018.3,84.2838,4312.23,2038.79,9116.52
9.8,4073.85,9327.46,227.113,5019.7,85.6758,4313.61,2040.18,9117.9
9.85,4075.24,9328.84,228.502,5021.1,87.0678,4315,2041.57,9119.28
9.9,4076.63,9330.23,229.891,5022.5,88.4598,4316.39,2042.96,9120.66
9.95,4078.02,9331.62,231.28,5023.9,89.8518,4317.78,2044.35,9122.04
10,4079.41,9333.01,232.669,5025.3,91.2438,4319.17,2045.74,9123.42
10.05,4080.8,9334.4,234.058,5026.7,92.6358,4320.56,2047.13,9124.8
10.1,4082.19,9335.79,235.447,5028.11,94.0278,4321.95,2048.52,9126.18
10.15,4083.58,9337.18,236.836,5029.51,95.4198,4323.34,2049.91,9127.56
10.2,4084.97,9338.57,238.225,5030.91,96.8118,4324.73,2051.31,9128.94
10.25,4086.36,9339.96,239.613,5032.31,98.2038,4326.11,2052.7,9130.33
10.3,4087.75,9341.34,241.002,5033.71,99.5958,4327.5,2054.09,9131.71
10.35,4089.14,9342.73,242.391,5035.11,100.988,4328.89,2055.48,9133.09
10.4,4090.53,9344.12,243.78,5036.51,102.38,4330.28,2056.87,9134.47
10.45,4091.92,9345.51,245.169,5037.92,103.772,4331.67,2058.26,9135.85
10.5,4093.3,9346.9,246.558,5039.32,105.164,4333.06,2059.65,9137.23
10.55,4094.69,9348.29,247.947,5040.72,106.556,4334.45,2061.04,9138.61
10.6,4096.08,9349.68,249.336,5042.12,107.948,4335.84,2062.43,9139.99
10.65,4097.47,9351.07,250.725,5043.52,109.34,4337.23,2063.82,9141.37
10.7,4098.86,9352.46,252.113,5044.92,110.732,4338.61,2065.22,9142.75
10.75,4100.25,9353.84,253.502,5046.32,112.124,4340,2066.61,9144.13
10.8,4101.64,9355.23,254.891,5047.73,113.516,4341.39,2068,9145.51
10.85,4103.03,9356.62,256.28,5049.13,114.908,4342.78,2069.39,9146.89
10.9,4104.42,9358.01,257.669,5050.53,116.3,4344.17,2070.78,9148.27
10.95,4105.81,9359.4,259.058,5051.93,117.692,4345.56,2072.17,9149.65
11,4107.2,9360.79,260.447,5053.33,119.084,4346.95,2073.56,9151.03
11.05,4108.59,9362.18,261.836,5054.73,120.476,4348.34,2074.95,9152.41
11.1,4109.98,9363.57,263.225,5056.13,121.868,4349.73,2076.34,9153.79
11.15,4111.37,9364.96,264.613,5057.54,123.26,4351.11,2077.73,9155.17
11.2,4112.76,9366.34,266.002,5058.94,124.652,4352.5,2079.13,9156.55
11.25,4114.15,9367.73,267.391,5060.34,126.044,4353.89,2080.52,9157.93
11.3,4115.54,9369.12,268.78,5061.74,127.436,4355.28,2081.91,9159.31
11.35,4116.93,9370.51,270.169,5063.14,128.828,4356.67,2083.3,9160.69
11.4,4118.32,9371.9,271.558,5064.54,130.22,4358.06,2084.69,9162.07
11.45,4119.7,9373.29,272.947,5065.94,131.612,4359.45,2086.08,9163.45
11.5,4121.09,9374.68,274.336,5067.35,133.004,4360.84,2087.47,9164.83
11.55,4122.48,9376.07,275.725,5068.75,134.396,4362.23,2088.86,9166.22
11.6,4123.87,9377.46,277.113,5070.15,135.788,4363.61,2090.25,9167.6
11.65,4125.26,9378.84,278.502,5071.55,137.18,4365,2091.65,9168.98
11.7,4126.65,9380.23,279.891,5072.95,138.572,4366.39,2093.04,9170.36
11.75,4128.04,9381.62,281.28,5074.35,139.964,4367.78,2094.43,9171.74
11.8,4129.43,9383.01,282.669,5075.75,141.356,4369.17,2095.82,9173.12
11.85,4130.82,9384.4,284.058,5077.16,142.748,4370.56,2097.21,9174.5
11.9,4132.21,9385.79,285.447,5078.56,144.14,4371.95,2098.6,9175.88
11.95,4133.6,9387.18,286.836,5079.96,145.532,4373.34,2099.99,9177.26
12,4134.99,9388.57,288.225,5081.36,146.924,4374.73,2101.38,9178.64
12.05,4136.38,9389.96,289.613,5082.76,148.316,4376.11,2102.77,9180.02
12.1,4137.77,9391.34,291.002,5084.16,149.708,4377.5,2104.16,9181.4
12.15,4139.16,9392.73,292.391,5085.56,151.1,4378.89,2105.56,9182.78
12.2,4140.55,9394.12,293.78,5086.96,152.492,4380.28,2106.95,9184.16
12.25,4141.94,9395.51,295.169,5088.37,153.884,4381.67,2108.34,9185.54
12.3,4143.33,9396.9,296.558,5089.77,155.276,4383.06,2109.73,9186.92
12.35,4144.72,9398.29,297.947,5091.17,156.668,4384.45,2111.12,9188.3
12.4,4146.11,9399.68,299.336,5092.57,158.06,4385.84,2112.51,9189.68
12.45,4147.49,9401.07,300.725,5093.97,159.452,4387.23,2113.9,9191.06
12.5,4148.88,9402.46,302.113,5095.37,160.844,4388.61,2115.29,9192.44
12.55,4150.27,9403.84,303.502,5096.77,162.236,4390,2116.68,9193.82
12.6,4151.66,9405.23,304.891,5098.18,163.628,4391.39,2118.07,9195.2
12.65,4153.05,9406.62,306.28,5099.58,165.02,4392.78,2119.47,9196.58
12.7,4154.44,9408.01,307.669,5100.98,166.412,4394.17,2120.86,9197.96
12.75,4155.83,9409.4,309.058,5102.38,167.804,4395.56,2122.25,9199.34
12.8,4157.22,9410.79,310.447,5103.78,169.196,4396.95,2123.64,9200.73
12.85,4158.61,9412.18,311.836,5105.18,170.588,4398.34,2125.03,9202.11
12.9,4160,9413.57,313.225,5106.58,171.98,4399.73,2126.42,9203.49
12.95,4161.39,9414.96,314.613,5107.99,173.372,4401.11,2127.81,9204.87
13,4162.78,9416.34,316.002,5109.39,174.764,4402.5,2129.2,9206.25
13.05,4164.17,9417.73,317.391,5110.79,176.156,4403.89,2130.59,9207.63
13.1,4165.56,9419.12,318.78,5112.19,177.548,4405.28,2131.98,9209.01
13.15,4166.95,9420.51,320.169,5113.59,178.94,4406.67,2133.38,9210.39
13.2,4168.34,9421.9,321.558,5114.99,180.332,4408.06,2134.77,9211.77
13.25,4169.73,9423.29,322.947,5116.39,181.724,4409.45,2136.16,9213.15
13.3,4171.12,9424.68,324.336,5117.8,183.116,4410.84,2137.55,9214.53
13.35,4172.51,9426.07,325.725,5119.2,184.508,4412.23,2138.94,9215.91
13.4,4173.9,9427.46,327.113,5120.6,185.9,4413.61,2140.33,9217.29
13.45,4175.28,9428.84,328.502,5122,187.292,4415,2141.72,9218.67
13.5,4176.67,9430.23,329.891,5123.4,188.684,4416.39,2143.11,9220.05
13.55,4178.06,9431.62,331.28,5124.8,190.076,4417.78,2144.5,9221.43
13.6,4179.45,9433.01,332.669,5126.2,191.468,4419.17,2145.89,9222.81
13.65,4180.84,9434.4,334.058,5127.61,192.86,4420.56,2147.29,9224.19
13.7,4182.23,9435.79,335.447,5129.01,194.252,4421.95,2148.68,9225.57
13.75,4183.62,9437.18,336.836,5130.41,195.644,4423.34,2150.07,9226.95
13.8,4185.01,9438.57,338.225,5131.81,197.036,4424.73,2151.46,9228.33
13.85,4186.4,9439.96,339.613,5133.21,198.428,4426.11,2152.85,9229.71
13.9,4187.79,9441.34,341.002,5134.61,199.82,4427.5,2154.24,9231.09
13.95,4189.18,9442.73,342.391,5136.01,201.212,4428.89,2155.63,9232.47
14,4190.57,9444.12,343.78,5137.42,202.604,4430.28,2157.02,9233.86
14.05,4191.96,9445.51,345.169,5138.82,203.996,4431.67,2158.41,9235.24
14.1,4193.35,9446.9,346.558,5140.22,205.388,4433.06,2159.8,9236.62
14.15,4194.74,9448.29,347.947,5141.62,206.78,4434.45,2161.2,9238
14.2,4196.13,9449.68,349.336,5143.02,208.172,4435.84,2162.59,9239.38
14.25,4197.52,9451.07,350.725,5144.42,209.564,4437.23,2163.98,9240.76
14.3,4198.91,9452.46,352.113,5145.82,210.956,4438.61,2165.37,9242.14
14.35,4200.3,9453.84,353.502,5147.23,212.348,4440,2166.76,9243.52
14.4,4201.69,9455.23,354.891,5148.63,213.74,4441.39,2168.15,9244.9
14.45,4203.07,9456.62,356.28,5150.03,215.132,4442.78,2169.54,9246.28
14.5,4204.46,9458.01,357.669,5151.43,216.524,4444.17,2170.93,9247.66
14.55,4205.85,9459.4,359.058,5152.83,217.916,4445.56,2172.32,9249.04
14.6,4207.24,9460.79,360.447,5154.23,219.308,4446.95,2173.71,9250.42
14.65,4208.63,9462.18,361.836,5155.63,220.7,4448.34,2175.11,9251.8
14.7,4210.02,9463.57,363.225,5157.04,222.092,4449.73,2176.5,9253.18
14.75,4211.41,9464.96,364.613,5158.44,223.484,4451.11,2177.89,9254.56
14.8,4212.8,9466.34,366.002,5159.84,224.876,4452.5,2179.28,9255.94
14.85,4214.19,9467.73,367.391,5161.24,226.268,4453.89,2180.67,9257.32
14.9,4215.58,9469.12,368.78,5162.64,227.66,4455.28,2182.06,9258.7
14.95,4216.97,9470.51,370.169,5164.04,229.052,4456.67,2183.45,9260.08
