time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19
2.75,2693.59,2565.25,8880.84,361.109,7198.98,3565.74,3761.44,6091.71,400.907,2207.65,4335.11,7823.3,1869.38,4122.35,8775.71,6583.14,4603.12,6228.27,85.2522
2.8,2694.97,2566.62,8882.23,362.502,7200.37,3567.13,3762.83,6093.1,402.298,2209.04,4336.5,7824.69,1870.77,4123.73,8777.08,6584.53,4604.51,6229.66,86.6721
2.85,2696.36,2568,8883.62,363.894,7201.76,3568.51,3764.22,6094.5,403.689,2210.43,4337.9,7826.08,1872.16,4125.12,8778.45,6585.93,4605.89,6231.05,88.092
2.9,2697.75,2569.37,8885.01,365.287,7203.15,3569.9,3765.61,6095.89,405.081,2211.82,4339.29,7827.47,1873.55,4126.51,8779.82,6587.33,4607.28,6232.44,89.5119
2.95,2699.14,2570.74,8886.4,366.679,7204.54,3571.29,3767,6097.28,406.472,2213.21,4340.68,7828.87,1874.94,4127.9,8781.19,6588.72,4608.67,6233.83,90.9318
3,2700.53,2572.12,8887.79,368.072,7205.93,3572.68,3768.38,6098.67,407.863,2214.59,4342.07,7830.26,1876.33,4129.28,8782.56,6590.12,4610.06,6235.21,92.3517
3.05,2701.91,2573.49,8889.18,369.465,7207.32,3574.07,3769.77,6100.06,409.254,2215.98,4343.46,7831.65,1877.72,4130.67,8783.93,6591.52,4611.45,6236.6,93.7716
3.1,2703.3,2574.86,8890.57,370.857,7208.7,3575.45,3771.16,6101.45,410.646,2217.37,4344.86,7833.04,1879.11,4132.06,8785.3,6592.92,4612.84,6237.99,95.1915
3.15,2704.69,2576.24,8891.96,372.25,7210.09,3576.84,3772.55,6102.84,412.037,2218.76,4346.25,7834.43,1880.5,4133.45,8786.67,6594.31,4614.23,6239.38,96.6114
3.2,2706.08,2577.61,8893.34,373.643,7211.48,3578.23,3773.94,6104.23,413.428,2220.15,4347.64,7835.82,1881.89,4134.83,8788.04,6595.71,4615.62,6240.77,98.0313
3.25,2707.47,2578.99,8894.73,375.035,7212.87,3579.62,3775.33,6105.62,414.819,2221.54,4349.03,7837.21,1883.27,4136.22,8789.41,6597.11,4617.01,6242.16,99.4512
3.3,2708.85,2580.36,8896.12,376.428,7214.26,3581,3776.71,6107.02,416.211,2222.93,4350.42,7838.6,1884.66,4137.61,8790.78,6598.5,4618.39,6243.55,100.871
3.35,2710.24,2581.73,8897.51,377.82,7215.65,3582.39,3778.1,6108.41,417.602,2224.32,4351.81,7840,1886.05,4138.99,8792.15,6599.9,4619.78,6244.94,102.291
3.4,2711.63,2583.11,8898.9,379.213,7217.04,3583.78,3779.49,6109.8,418.993,2225.71,4353.21,7841.39,1887.44,4140.38,8793.52,6601.3,4621.17,6246.33,103.711
3.45,2713.02,2584.48,8900.29,380.606,7218.43,3585.17,3780.88,6111.19,420.384,2227.1,4354.6,7842.78,1888.83,4141.77,8794.89,6602.7,4622.56,6247.71,105.131
3.5,2714.41,2585.85,8901.68,381.998,7219.82,3586.56,3782.27,6112.58,421.776,2228.49,4355.99,7844.17,1890.22,4143.16,8796.25,6604.09,4623.95,6249.1,106.551
3.55,2715.8,2587.23,8903.07,383.391,7221.2,3587.94,3783.65,6113.97,423.167,2229.88,4357.38,7845.56,1891.61,4144.54,8797.62,6605.49,4625.34,6250.49,107.971
3.6,2717.18,2588.6,8904.46,384.783,7222.59,3589.33,3785.04,6115.36,424.558,2231.27,4358.77,7846.95,1893,4145.93,8798.99,6606.89,4626.73,6251.88,109.391
3.65,2718.57,2589.97,8905.84,386.176,7223.98,3590.72,3786.43,6116.75,425.949,2232.66,4360.17,7848.34,1894.39,4147.32,8800.36,6608.28,4628.12,6253.27,110.81
3.7,2719.96,2591.35,8907.23,387.569,7225.37,3592.11,3787.82,6118.14,427.34,2234.05,4361.56,7849.73,1895.78,4148.71,8801.73,6609.68,4629.51,6254.66,112.23
3.75,2721.35,2592.72,8908.62,388.961,7226.76,3593.5,3789.21,6119.54,428.732,2235.44,4362.95,7851.12,1897.17,4150.09,8803.1,6611.08,4630.89,6256.05,113.65
3.8,2722.74,2594.09,8910.01,390.354,7228.15,3594.88,3790.6,6120.93,430.123,2236.83,4364.34,7852.52,1898.56,4151.48,8804.47,6612.48,4632.28,6257.44,115.07
3.85,2724.12,2595.47,8911.4,391.746,7229.54,3596.27,3791.98,6122.32,431.514,2238.22,4365.73,7853.91,1899.95,4152.87,8805.84,6613.87,4633.67,6258.83,116.49
3.9,2725.51,2596.84,8912.79,393.139,7230.93,3597.66,3793.37,6123.71,432.905,2239.61,4367.13,7855.3,1901.34,4154.26,8807.21,6615.27,4635.06,6260.21,117.91
3.95,2726.9,2598.22,8914.18,394.532,7232.32,3599.05,3794.76,6125.1,434.297,2241,4368.52,7856.69,1902.73,4155.64,8808.58,6616.67,4636.45,6261.6,119.33
4,2728.29,2599.59,8915.57,395.924,7233.7,3600.44,3796.15,6126.49,435.688,2242.39,4369.91,7858.08,1904.12,4157.03,8809.95,6618.06,4637.84,6262.99,120.75
4.05,2729.68,2600.96,8916.96,397.317,7235.09,3601.82,3797.54,6127.88,437.079,2243.78,4371.3,7859.47,1905.51,4158.42,8811.32,6619.46,4639.23,6264.38,122.17
4.1,2731.06,2602.34,8918.34,398.709,7236.48,3603.21,3798.93,6129.27,438.47,2245.17,4372.69,7860.86,1906.9,4159.8,8812.69,6620.86,4640.62,6265.77,123.59
