time,N1,N2,N3,N4,N5,N6
11.35,6430.7,622.339,9739.37,9259.78,6185.21,3092.16
11.4,6432.09,623.731,9740.76,9261.17,6186.6,3093.55
11.45,6433.48,625.123,9742.15,9262.56,6188,3094.94
11.5,6434.86,626.515,9743.53,9263.96,6189.4,3096.33
11.55,6436.25,627.907,9744.92,9265.35,6190.79,3097.72
11.6,6437.64,629.298,9746.31,9266.74,6192.19,3099.11
11.65,6439.03,630.69,9747.7,9268.13,6193.58,3100.5
11.7,6440.42,632.082,9749.09,9269.52,6194.98,3101.88
11.75,6441.81,633.474,9750.48,9270.91,6196.38,3103.27
11.8,6443.2,634.866,9751.87,9272.3,6197.77,3104.66
11.85,6444.59,636.258,9753.26,9273.69,6199.17,3106.05
11.9,6445.98,637.65,9754.65,9275.09,6200.57,3107.44
11.95,6447.36,639.042,9756.04,9276.48,6201.96,3108.83
12,6448.75,640.433,9757.43,9277.87,6203.36,3110.22
12.05,6450.14,641.825,9758.82,9279.26,6204.75,3111.61
12.1,6451.53,643.217,9760.21,9280.65,6206.15,3113
12.15,6452.92,644.609,9761.6,9282.04,6207.55,3114.38
12.2,6454.31,646.001,9762.99,9283.43,6208.94,3115.77
12.25,6455.7,647.393,9764.38,9284.83,6210.34,3117.16
12.3,6457.09,648.785,9765.77,9286.22,6211.73,3118.55
12.35,6458.48,650.177,9767.16,9287.61,6213.13,3119.94
12.4,6459.86,651.569,9768.55,9289,6214.53,3121.33
12.45,6461.25,652.96,9769.94,9290.39,6215.92,3122.72
12.5,6462.64,654.352,9771.33,9291.78,6217.32,3124.11
12.55,6464.03,655.744,9772.72,9293.17,6218.72,3125.5
12.6,6465.42,657.136,9774.1,9294.57,6220.11,3126.88
12.65,6466.81,658.528,9775.49,9295.96,6221.51,3128.27
12.7,6468.2,659.92,9776.88,9297.35,6222.9,3129.66
12.75,6469.59,661.312,9778.27,9298.74,6224.3,3131.05
12.8,6470.98,662.704,9779.66,9300.13,6225.7,3132.44
12.85,6472.36,664.096,9781.05,9301.52,6227.09,3133.83
12.9,6473.75,665.487,9782.44,9302.91,6228.49,3135.22
12.95,6475.14,666.879,9783.83,9304.3,6229.88,3136.61
13,6476.53,668.271,9785.22,9305.7,6231.28,3138
13.05,6477.92,669.663,9786.61,9307.09,6232.68,3139.38
13.1,6479.31,671.055,9788,9308.48,6234.07,3140.77
13.15,6480.7,672.447,9789.39,9309.87,6235.47,3142.16
13.2,6482.09,673.839,9790.78,9311.26,6236.87,3143.55
13.25,6483.48,675.231,9792.17,9312.65,6238.26,3144.94
13.3,6484.86,676.623,9793.56,9314.04,6239.66,3146.33
13.35,6486.25,678.014,9794.95,9315.44,6241.05,3147.72
13.4,6487.64,679.406,9796.34,9316.83,6242.45,3149.11
13.45,6489.03,680.798,9797.73,9318.22,6243.85,3150.5
13.5,6490.42,682.19,9799.12,9319.61,6245.24,3151.88
13.55,6491.81,683.582,9800.51,9321,6246.64,3153.27
13.6,6493.2,684.974,9801.9,9322.39,6248.04,3154.66
13.65,6494.59,686.366,9803.28,9323.78,6249.43,3156.05
13.7,6495.98,687.758,9804.67,9325.17,6250.83,3157.44
13.75,6497.36,689.15,9806.06,9326.57,6252.22,3158.83
13.8,6498.75,690.541,9807.45,9327.96,6253.62,3160.22
13.85,6500.14,691.933,9808.84,9329.35,6255.02,3161.61
13.9,6501.53,693.325,9810.23,9330.74,6256.41,3163
13.95,6502.92,694.717,9811.62,9332.13,6257.81,3164.38
14,6504.31,696.109,9813.01,9333.52,6259.2,3165.77
14.05,6505.7,697.501,9814.4,9334.91,6260.6,3167.16
14.1,6507.09,698.893,9815.79,9336.31,6262,3168.55
14.15,6508.48,700.285,9817.18,9337.7,6263.39,3169.94
14.2,6509.86,701.677,9818.57,9339.09,6264.79,3171.33
14.25,6511.25,703.069,9819.96,9340.48,6266.19,3172.72
14.3,6512.64,704.46,9821.35,9341.87,6267.58,3174.11
14.35,6514.03,705.852,9822.74,9343.26,6268.98,3175.5
14.4,6515.42,707.244,9824.13,9344.65,6270.37,3176.88
14.45,6516.81,708.636,9825.52,9346.04,6271.77,3178.27
14.5,6518.2,710.028,9826.91,9347.44,6273.17,3179.66
14.55,6519.59,711.42,9828.3,9348.83,6274.56,3181.05
14.6,6520.98,712.812,9829.69,9350.22,6275.96,3182.44
14.65,6522.36,714.204,9831.08,9351.61,6277.35,3183.83
14.7,6523.75,715.596,9832.47,9353,6278.75,3185.22
14.75,6525.14,716.987,9833.85,9354.39,6280.15,3186.61
14.8,6526.53,718.379,9835.24,9355.78,6281.54,3188
14.85,6527.92,719.771,9836.63,9357.18,6282.94,3189.38
14.9,6529.31,721.163,9838.02,9358.57,6284.34,3190.77
14.95,6530.7,722.555,9839.41,9359.96,6285.73,3192.16
15,6532.09,723.947,9840.8,9361.35,6287.13,3193.55
15.05,6533.48,725.339,9842.19,9362.74,6288.52,3194.94
15.1,6534.86,726.731,9843.58,9364.13,6289.92,3196.33
15.15,6536.25,728.123,9844.97,9365.52,6291.32,3197.72
15.2,6537.64,729.515,9846.36,9366.91,6292.71,3199.11
15.25,6539.03,730.906,9847.75,9368.31,6294.11,3200.5
15.3,6540.42,732.298,9849.14,9369.7,6295.5,3201.88
15.35,6541.81,733.69,9850.53,9371.09,6296.9,3203.27
15.4,6543.2,735.082,9851.92,9372.48,6298.3,3204.66
15.45,6544.59,736.474,9853.31,9373.87,6299.69,3206.05
15.5,6545.98,737.866,9854.7,9375.26,6301.09,3207.44
15.55,6547.36,739.258,9856.09,9376.65,6302.49,3208.83
15.6,6548.75,740.65,9857.48,9378.05,6303.88,3210.22
15.65,6550.14,742.042,9858.87,9379.44,6305.28,3211.61
15.7,6551.53,743.434,9860.26,9380.83,6306.67,3213
15.75,6552.92,744.825,9861.65,9382.22,6308.07,3214.38
15.8,6554.31,746.217,9863.03,9383.61,6309.47,3215.77
15.85,6555.7,747.609,9864.42,9385,6310.86,3217.16
15.9,6557.09,749.001,9865.81,9386.39,6312.26,3218.55
15.95,6558.48,750.393,9867.2,9387.79,6313.65,3219.94
16,6559.86,751.785,9868.59,9389.18,6315.05,3221.33
16.05,6561.25,753.177,9869.98,9390.57,6316.45,3222.72
16.1,6562.64,754.569,9871.37,9391.96,6317.84,3224.11
16.15,6564.03,755.961,9872.76,9393.35,6319.24,3225.5
16.2,6565.42,757.353,9874.15,9394.74,6320.64,3226.88
16.25,6566.81,758.744,9875.54,9396.13,6322.03,3228.27
16.3,6568.2,760.136,9876.93,9397.52,6323.43,3229.66
