time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11
5.65,499.809,7366.19,6435.04,8989.07,309.15,7594.85,4368.36,4777.49,208.869,1514.06,4219.38
5.7,501.198,7367.58,6436.43,8990.47,310.543,7596.24,4369.75,4778.88,210.265,1515.45,4220.78
5.75,502.587,7368.97,6437.82,8991.88,311.936,7597.62,4371.14,4780.27,211.662,1516.84,4222.17
5.8,503.976,7370.36,6439.21,8993.28,313.328,7599.01,4372.53,4781.66,213.058,1518.24,4223.56
5.85,505.365,7371.75,6440.6,8994.68,314.721,7600.4,4373.92,4783.05,214.454,1519.63,4224.95
5.9,506.754,7373.14,6441.98,8996.09,316.114,7601.79,4375.31,4784.44,215.85,1521.02,4226.34
5.95,508.143,7374.53,6443.37,8997.49,317.506,7603.18,4376.7,4785.83,217.246,1522.41,4227.73
6,509.531,7375.92,6444.76,8998.9,318.899,7604.57,4378.09,4787.22,218.643,1523.8,4229.12
6.05,510.92,7377.31,6446.15,9000.3,320.292,7605.96,4379.48,4788.61,220.039,1525.2,4230.52
6.1,512.309,7378.7,6447.54,9001.71,321.684,7607.35,4380.87,4790,221.435,1526.59,4231.91
6.15,513.698,7380.09,6448.93,9003.11,323.077,7608.74,4382.27,4791.39,222.831,1527.98,4233.3
6.2,515.087,7381.48,6450.32,9004.51,324.47,7610.12,4383.66,4792.79,224.227,1529.37,4234.69
6.25,516.476,7382.87,6451.71,9005.92,325.862,7611.51,4385.05,4794.18,225.624,1530.76,4236.08
6.3,517.865,7384.26,6453.1,9007.32,327.255,7612.9,4386.44,4795.57,227.02,1532.16,4237.47
6.35,519.254,7385.65,6454.48,9008.73,328.648,7614.29,4387.83,4796.96,228.416,1533.55,4238.86
6.4,520.643,7387.04,6455.87,9010.13,330.04,7615.68,4389.22,4798.35,229.812,1534.94,4240.26
6.45,522.031,7388.43,6457.26,9011.53,331.433,7617.07,4390.61,4799.74,231.209,1536.33,4241.65
6.5,523.42,7389.82,6458.65,9012.94,332.826,7618.46,4392,4801.13,232.605,1537.72,4243.04
6.55,524.809,7391.21,6460.04,9014.34,334.218,7619.85,4393.39,4802.52,234.001,1539.11,4244.43
6.6,526.198,7392.6,6461.43,9015.75,335.611,7621.24,4394.78,4803.91,235.397,1540.51,4245.82
6.65,527.587,7393.99,6462.82,9017.15,337.004,7622.62,4396.17,4805.3,236.793,1541.9,4247.21
6.7,528.976,7395.38,6464.21,9018.55,338.396,7624.01,4397.56,4806.69,238.19,1543.29,4248.61
6.75,530.365,7396.77,6465.6,9019.96,339.789,7625.4,4398.95,4808.08,239.586,1544.68,4250
6.8,531.754,7398.16,6466.98,9021.36,341.182,7626.79,4400.34,4809.47,240.982,1546.07,4251.39
6.85,533.143,7399.55,6468.37,9022.77,342.574,7628.18,4401.74,4810.86,242.378,1547.47,4252.78
6.9,534.531,7400.94,6469.76,9024.17,343.967,7629.57,4403.13,4812.25,243.775,1548.86,4254.17
6.95,535.92,7402.33,6471.15,9025.57,345.36,7630.96,4404.52,4813.64,245.171,1550.25,4255.56
7,537.309,7403.72,6472.54,9026.98,346.752,7632.35,4405.91,4815.03,246.567,1551.64,4256.95
7.05,538.698,7405.11,6473.93,9028.38,348.145,7633.74,4407.3,4816.42,247.963,1553.03,4258.35
7.1,540.087,7406.5,6475.32,9029.79,349.538,7635.12,4408.69,4817.81,249.359,1554.43,4259.74
7.15,541.476,7407.89,6476.71,9031.19,350.93,7636.51,4410.08,4819.2,250.756,1555.82,4261.13
7.2,542.865,7409.28,6478.1,9032.59,352.323,7637.9,4411.47,4820.59,252.152,1557.21,4262.52
7.25,544.254,7410.67,6479.48,9034,353.716,7639.29,4412.86,4821.98,253.548,1558.6,4263.91
7.3,545.643,7412.06,6480.87,9035.4,355.108,7640.68,4414.25,4823.37,254.944,1559.99,4265.3
7.35,547.031,7413.46,6482.26,9036.81,356.501,7642.07,4415.64,4824.76,256.34,1561.39,4266.69
7.4,548.42,7414.85,6483.65,9038.21,357.894,7643.46,4417.03,4826.15,257.737,1562.78,4268.09
7.45,549.809,7416.24,6485.04,9039.62,359.286,7644.85,4418.42,4827.54,259.133,1564.17,4269.48
7.5,551.198,7417.63,6486.43,9041.02,360.679,7646.24,4419.81,4828.93,260.529,1565.56,4270.87
7.55,552.587,7419.02,6487.82,9042.42,362.072,7647.62,4421.21,4830.32,261.925,1566.95,4272.26
7.6,553.976,7420.41,6489.21,9043.83,363.464,7649.01,4422.6,4831.72,263.322,1568.34,4273.65
7.65,555.365,7421.8,6490.6,9045.23,364.857,7650.4,4423.99,4833.11,264.718,1569.74,4275.04
7.7,556.754,7423.19,6491.98,9046.64,366.25,7651.79,4425.38,4834.5,266.114,1571.13,4276.43
7.75,558.143,7424.58,6493.37,9048.04,367.643,7653.18,4426.77,4835.89,267.51,1572.52,4277.83
7.8,559.531,7425.97,6494.76,9049.44,369.035,7654.57,4428.16,4837.28,268.906,1573.91,4279.22
7.85,560.92,7427.36,6496.15,9050.85,370.428,7655.96,4429.55,4838.67,270.303,1575.3,4280.61
7.9,562.309,7428.75,6497.54,9052.25,371.821,7657.35,4430.94,4840.06,271.699,1576.7,4282
7.95,563.698,7430.14,6498.93,9053.66,373.213,7658.74,4432.33,4841.45,273.095,1578.09,4283.39
8,565.087,7431.53,6500.32,9055.06,374.606,7660.12,4433.72,4842.84,274.491,1579.48,4284.78
8.05,566.476,7432.92,6501.71,9056.46,375.999,7661.51,4435.11,4844.23,275.887,1580.87,4286.18
8.1,567.865,7434.31,6503.1,9057.87,377.391,7662.9,4436.5,4845.62,277.284,1582.26,4287.57
8.15,569.254,7435.7,6504.48,9059.27,378.784,7664.29,4437.89,4847.01,278.68,1583.66,4288.96
8.2,570.643,7437.09,6505.87,9060.68,380.177,7665.68,4439.28,4848.4,280.076,1585.05,4290.35
8.25,572.031,7438.48,6507.26,9062.08,381.569,7667.07,4440.67,4849.79,281.472,1586.44,4291.74
8.3,573.42,7439.87,6508.65,9063.48,382.962,7668.46,4442.07,4851.18,282.868,1587.83,4293.13
8.35,574.809,7441.26,6510.04,9064.89,384.355,7669.85,4443.46,4852.57,284.265,1589.22,4294.52
8.4,576.198,7442.65,6511.43,9066.29,385.747,7671.24,4444.85,4853.96,285.661,1590.62,4295.92
8.45,577.587,7444.04,6512.82,9067.7,387.14,7672.62,4446.24,4855.35,287.057,1592.01,4297.31
