time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12
5.2,1913.2,1651.11,2158.7,8603.38,5714.49,1159.85,8372.05,8110.61,5600.51,897.646,4232.59,7702
5.25,1914.59,1652.51,2160.09,8604.77,5715.88,1161.24,8373.44,8112,5601.9,899.034,4233.98,7703.38
5.3,1915.98,1653.91,2161.48,8606.17,5717.28,1162.63,8374.83,8113.39,5603.29,900.423,4235.38,7704.77
5.35,1917.37,1655.31,2162.87,8607.57,5718.67,1164.02,8376.22,8114.78,5604.69,901.812,4236.77,7706.16
5.4,1918.76,1656.71,2164.26,8608.96,5720.06,1165.41,8377.61,8116.17,5606.08,903.2,4238.16,7707.55
5.45,1920.16,1658.11,2165.65,8610.36,5721.46,1166.8,8379,8117.56,5607.47,904.589,4239.55,7708.94
5.5,1921.55,1659.51,2167.04,8611.75,5722.85,1168.18,8380.39,8118.96,5608.86,905.978,4240.94,7710.33
5.55,1922.94,1660.91,2168.42,8613.15,5724.24,1169.57,8381.77,8120.35,5610.25,907.367,4242.34,7711.72
5.6,1924.33,1662.31,2169.81,8614.54,5725.63,1170.96,8383.16,8121.74,5611.64,908.755,4243.73,7713.11
5.65,1925.72,1663.71,2171.2,8615.94,5727.03,1172.35,8384.55,8123.13,5613.04,910.144,4245.12,7714.5
5.7,1927.11,1665.11,2172.59,8617.34,5728.42,1173.74,8385.94,8124.52,5614.43,911.533,4246.51,7715.88
5.75,1928.51,1666.5,2173.98,8618.73,5729.81,1175.13,8387.33,8125.91,5615.82,912.921,4247.9,7717.27
5.8,1929.9,1667.9,2175.37,8620.13,5731.2,1176.52,8388.72,8127.3,5617.21,914.31,4249.3,7718.66
5.85,1931.29,1669.3,2176.76,8621.52,5732.6,1177.91,8390.11,8128.69,5618.6,915.699,4250.69,7720.05
5.9,1932.68,1670.7,2178.15,8622.92,5733.99,1179.3,8391.5,8130.08,5619.99,917.088,4252.08,7721.44
5.95,1934.07,1672.1,2179.54,8624.31,5735.38,1180.68,8392.89,8131.47,5621.39,918.476,4253.47,7722.83
6,1935.46,1673.5,2180.92,8625.71,5736.77,1182.07,8394.27,8132.86,5622.78,919.865,4254.87,7724.22
6.05,1936.85,1674.9,2182.31,8627.11,5738.17,1183.46,8395.66,8134.26,5624.17,921.254,4256.26,7725.61
6.1,1938.25,1676.3,2183.7,8628.5,5739.56,1184.85,8397.05,8135.65,5625.56,922.642,4257.65,7727
6.15,1939.64,1677.7,2185.09,8629.9,5740.95,1186.24,8398.44,8137.04,5626.95,924.031,4259.04,7728.38
6.2,1941.03,1679.1,2186.48,8631.29,5742.34,1187.63,8399.83,8138.43,5628.34,925.42,4260.43,7729.77
6.25,1942.42,1680.49,2187.87,8632.69,5743.74,1189.02,8401.22,8139.82,5629.74,926.809,4261.83,7731.16
6.3,1943.81,1681.89,2189.26,8634.08,5745.13,1190.41,8402.61,8141.21,5631.13,928.197,4263.22,7732.55
6.35,1945.2,1683.29,2190.65,8635.48,5746.52,1191.8,8404,8142.6,5632.52,929.586,4264.61,7733.94
6.4,1946.59,1684.69,2192.04,8636.88,5747.92,1193.18,8405.39,8143.99,5633.91,930.975,4266,7735.33
6.45,1947.99,1686.09,2193.42,8638.27,5749.31,1194.57,8406.77,8145.38,5635.3,932.363,4267.39,7736.72
6.5,1949.38,1687.49,2194.81,8639.67,5750.7,1195.96,8408.16,8146.77,5636.69,933.752,4268.79,7738.11
6.55,1950.77,1688.89,2196.2,8641.06,5752.09,1197.35,8409.55,8148.17,5638.09,935.141,4270.18,7739.5
6.6,1952.16,1690.29,2197.59,8642.46,5753.49,1198.74,8410.94,8149.56,5639.48,936.529,4271.57,7740.88
6.65,1953.55,1691.69,2198.98,8643.85,5754.88,1200.13,8412.33,8150.95,5640.87,937.918,4272.96,7742.27
6.7,1954.94,1693.09,2200.37,8645.25,5756.27,1201.52,8413.72,8152.34,5642.26,939.307,4274.35,7743.66
6.75,1956.34,1694.49,2201.76,8646.65,5757.66,1202.91,8415.11,8153.73,5643.65,940.696,4275.75,7745.05
6.8,1957.73,1695.88,2203.15,8648.04,5759.06,1204.3,8416.5,8155.12,5645.04,942.084,4277.14,7746.44
6.85,1959.12,1697.28,2204.54,8649.44,5760.45,1205.68,8417.89,8156.51,5646.44,943.473,4278.53,7747.83
6.9,1960.51,1698.68,2205.92,8650.83,5761.84,1207.07,8419.27,8157.9,5647.83,944.862,4279.92,7749.22
6.95,1961.9,1700.08,2207.31,8652.23,5763.23,1208.46,8420.66,8159.29,5649.22,946.25,4281.31,7750.61
7,1963.29,1701.48,2208.7,8653.62,5764.63,1209.85,8422.05,8160.68,5650.61,947.639,4282.71,7752
7.05,1964.68,1702.88,2210.09,8655.02,5766.02,1211.24,8423.44,8162.07,5652,949.028,4284.1,7753.38
7.1,1966.08,1704.28,2211.48,8656.42,5767.41,1212.63,8424.83,8163.47,5653.39,950.417,4285.49,7754.77
7.15,1967.47,1705.68,2212.87,8657.81,5768.8,1214.02,8426.22,8164.86,5654.79,951.805,4286.88,7756.16
7.2,1968.86,1707.08,2214.26,8659.21,5770.2,1215.41,8427.61,8166.25,5656.18,953.194,4288.27,7757.55
7.25,1970.25,1708.48,2215.65,8660.6,5771.59,1216.8,8429,8167.64,5657.57,954.583,4289.67,7758.94
7.3,1971.64,1709.88,2217.04,8662,5772.98,1218.18,8430.39,8169.03,5658.96,955.971,4291.06,7760.33
7.35,1973.03,1711.27,2218.42,8663.39,5774.38,1219.57,8431.77,8170.42,5660.35,957.36,4292.45,7761.72
7.4,1974.42,1712.67,2219.81,8664.79,5775.77,1220.96,8433.16,8171.81,5661.74,958.749,4293.84,7763.11
7.45,1975.82,1714.07,2221.2,8666.19,5777.16,1222.35,8434.55,8173.2,5663.14,960.138,4295.24,7764.5
7.5,1977.21,1715.47,2222.59,8667.58,5778.55,1223.74,8435.94,8174.59,5664.53,961.526,4296.63,7765.88
7.55,1978.6,1716.87,2223.98,8668.98,5779.95,1225.13,8437.33,8175.98,5665.92,962.915,4298.02,7767.27
