time,N1
22.35,9497.1
22.4,9498.49
22.45,9499.89
22.5,9501.29
22.55,9502.68
22.6,9504.08
22.65,9505.47
22.7,9506.87
22.75,9508.27
22.8,9509.66
22.85,9511.06
22.9,9512.45
22.95,9513.85
23,9515.25
23.05,9516.64
23.1,9518.04
23.15,9519.44
23.2,9520.83
23.25,9522.23
23.3,9523.62
23.35,9525.02
23.4,9526.42
23.45,9527.81
23.5,9529.21
23.55,9530.6
23.6,9532
23.65,9533.4
23.7,9534.79
23.75,9536.19
23.8,9537.59
23.85,9538.98
23.9,9540.38
23.95,9541.77
24,9543.17
24.05,9544.57
24.1,9545.96
24.15,9547.36
24.2,9548.75
24.25,9550.15
24.3,9551.55
24.35,9552.94
24.4,9554.34
24.45,9555.73
24.5,9557.13
24.55,9558.53
24.6,9559.92
24.65,9561.32
24.7,9562.72
24.75,9564.11
24.8,9565.51
24.85,9566.9
24.9,9568.3
24.95,9569.7
25,9571.09
25.05,9572.49
25.1,9573.88
25.15,9575.28
25.2,9576.68
25.25,9578.07
25.3,9579.47
25.35,9580.87
25.4,9582.26
25.45,9583.66
25.5,9585.05
25.55,9586.45
25.6,9587.85
25.65,9589.24
25.7,9590.64
25.75,9592.03
25.8,9593.43
25.85,9594.83
25.9,9596.22
25.95,9597.62
26,9599.01
26.05,9600.41
26.1,9601.81
26.15,9603.2
26.2,9604.6
26.25,9606
26.3,9607.39
26.35,9608.79
26.4,9610.18
26.45,9611.58
26.5,9612.98
26.55,9614.37
26.6,9615.77
26.65,9617.16
26.7,9618.56
26.75,9619.96
26.8,9621.35
26.85,9622.75
26.9,9624.15
26.95,9625.54
27,9626.94
27.05,9628.33
27.1,9629.73
27.15,9631.13
27.2,9632.52
27.25,9633.92
27.3,9635.31
27.35,9636.71
27.4,9638.11
27.45,9639.5
27.5,9640.9
27.55,9642.29
27.6,9643.69
27.65,9645.09
27.7,9646.48
27.75,9647.88
27.8,9649.28
27.85,9650.67
27.9,9652.07
27.95,9653.46
28,9654.86
28.05,9656.26
28.1,9657.65
28.15,9659.05
28.2,9660.44
28.25,9661.84
28.3,9663.24
28.35,9664.63
28.4,9666.03
28.45,9667.42
28.5,9668.82
28.55,9670.22
28.6,9671.61
28.65,9673.01
28.7,9674.41
28.75,9675.8
28.8,9677.2
28.85,9678.59
28.9,9679.99
28.95,9681.39
29,9682.78
29.05,9684.18
29.1,9685.57
29.15,9686.97
29.2,9688.37
29.25,9689.76
29.3,9691.16
29.35,9692.56
29.4,9693.95
29.45,9695.35
29.5,9696.74
29.55,9698.14
29.6,9699.54
29.65,9700.93
29.7,9702.33
29.75,9703.72
29.8,9705.12
29.85,9706.52
29.9,9707.91
29.95,9709.31
30,9710.7
30.05,9712.1
30.1,9713.5
30.15,9714.89
30.2,9716.29
30.25,9717.69
30.3,9719.08
30.35,9720.48
30.4,9721.87
30.45,9723.27
30.5,9724.67
30.55,9726.06
30.6,9727.46
30.65,9728.85
30.7,9730.25
30.75,9731.65
30.8,9733.04
30.85,9734.44
30.9,9735.83
30.95,9737.23
31,9738.63
31.05,9740.02
31.1,9741.42
31.15,9742.82
31.2,9744.21
31.25,9745.61
31.3,9747
31.35,9748.4
31.4,9749.8
31.45,9751.19
31.5,9752.59
31.55,9753.98
31.6,9755.38
31.65,9756.78
31.7,9758.17
31.75,9759.57
31.8,9760.96
31.85,9762.36
31.9,9763.76
31.95,9765.15
32,9766.55
32.05,9767.95
32.1,9769.34
32.15,9770.74
32.2,9772.13
32.25,9773.53
32.3,9774.93
32.35,9776.32
32.4,9777.72
32.45,9779.11
32.5,9780.51
32.55,9781.91
32.6,9783.3
32.65,9784.7
32.7,9786.09
32.75,9787.49
32.8,9788.89
32.85,9790.28
32.9,9791.68
32.95,9793.08
33,9794.47
33.05,9795.87
33.1,9797.26
33.15,9798.66
33.2,9800.06
33.25,9801.45
33.3,9802.85
33.35,9804.24
33.4,9805.64
33.45,9807.04
33.5,9808.43
33.55,9809.83
33.6,9811.23
33.65,9812.62
33.7,9814.02
33.75,9815.41
33.8,9816.81
