time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17
6,5080.89,6604.7,3392.58,3701.98,7214.25,8643.59,537.737,2777.6,292.277,895.264,2057.6,58.161,7749.32,6750.54,9513.67,5377.41,5493.6
6.05,5082.28,6606.09,3393.96,3703.37,7215.64,8644.98,539.126,2778.99,293.669,896.661,2058.99,59.5499,7750.71,6751.93,9515.06,5378.78,5494.99
6.1,5083.67,6607.48,3395.35,3704.76,7217.03,8646.37,540.514,2780.39,295.062,898.058,2060.38,60.9388,7752.1,6753.32,9516.45,5380.15,5496.38
6.15,5085.06,6608.87,3396.74,3706.15,7218.42,8647.76,541.903,2781.78,296.454,899.455,2061.77,62.3277,7753.49,6754.71,9517.85,5381.52,5497.76
6.2,5086.45,6610.27,3398.13,3707.54,7219.81,8649.15,543.292,2783.17,297.846,900.852,2063.16,63.7165,7754.89,6756.1,9519.24,5382.89,5499.15
6.25,5087.84,6611.66,3399.52,3708.93,7221.2,8650.54,544.681,2784.56,299.238,902.249,2064.55,65.1054,7756.28,6757.49,9520.63,5384.26,5500.54
6.3,5089.23,6613.05,3400.91,3710.33,7222.59,8651.93,546.07,2785.95,300.63,903.646,2065.94,66.4943,7757.67,6758.88,9522.02,5385.63,5501.93
6.35,5090.61,6614.44,3402.3,3711.72,7223.98,8653.32,547.459,2787.35,302.022,905.043,2067.33,67.8832,7759.06,6760.28,9523.41,5387,5503.32
6.4,5092,6615.83,3403.69,3713.11,7225.37,8654.71,548.848,2788.74,303.415,906.44,2068.72,69.2721,7760.46,6761.67,9524.81,5388.37,5504.71
6.45,5093.39,6617.23,3405.08,3714.5,7226.76,8656.09,550.237,2790.13,304.807,907.837,2070.1,70.661,7761.85,6763.06,9526.2,5389.75,5506.1
6.5,5094.78,6618.62,3406.46,3715.89,7228.15,8657.48,551.626,2791.52,306.199,909.234,2071.49,72.0499,7763.24,6764.45,9527.59,5391.12,5507.49
6.55,5096.17,6620.01,3407.85,3717.28,7229.54,8658.87,553.014,2792.91,307.591,910.631,2072.88,73.4388,7764.63,6765.84,9528.98,5392.49,5508.88
6.6,5097.56,6621.4,3409.24,3718.67,7230.93,8660.26,554.403,2794.31,308.983,912.028,2074.27,74.8277,7766.03,6767.23,9530.37,5393.86,5510.26
6.65,5098.95,6622.79,3410.63,3720.06,7232.32,8661.65,555.792,2795.7,310.376,913.425,2075.66,76.2165,7767.42,6768.62,9531.77,5395.23,5511.65
6.7,5100.34,6624.18,3412.02,3721.46,7233.71,8663.04,557.181,2797.09,311.768,914.821,2077.05,77.6054,7768.81,6770.01,9533.16,5396.6,5513.04
6.75,5101.73,6625.58,3413.41,3722.85,7235.1,8664.43,558.57,2798.48,313.16,916.218,2078.44,78.9943,7770.2,6771.4,9534.55,5397.97,5514.43
6.8,5103.11,6626.97,3414.8,3724.24,7236.49,8665.82,559.959,2799.87,314.552,917.615,2079.83,80.3832,7771.6,6772.79,9535.94,5399.34,5515.82
6.85,5104.5,6628.36,3416.19,3725.63,7237.88,8667.21,561.348,2801.27,315.944,919.012,2081.22,81.7721,7772.99,6774.18,9537.33,5400.71,5517.21
6.9,5105.89,6629.75,3417.58,3727.02,7239.27,8668.59,562.737,2802.66,317.337,920.409,2082.6,83.161,7774.38,6775.57,9538.73,5402.08,5518.6
6.95,5107.28,6631.14,3418.96,3728.41,7240.66,8669.98,564.126,2804.05,318.729,921.806,2083.99,84.5499,7775.77,6776.96,9540.12,5403.45,5519.99
7,5108.67,6632.54,3420.35,3729.8,7242.05,8671.37,565.514,2805.44,320.121,923.203,2085.38,85.9388,7777.17,6778.35,9541.51,5404.82,5521.38
7.05,5110.06,6633.93,3421.74,3731.19,7243.44,8672.76,566.903,2806.83,321.513,924.6,2086.77,87.3277,7778.56,6779.74,9542.9,5406.2,5522.76
7.1,5111.45,6635.32,3423.13,3732.59,7244.83,8674.15,568.292,2808.22,322.905,925.997,2088.16,88.7165,7779.95,6781.13,9544.29,5407.57,5524.15
7.15,5112.84,6636.71,3424.52,3733.98,7246.22,8675.54,569.681,2809.62,324.298,927.394,2089.55,90.1054,7781.34,6782.52,9545.69,5408.94,5525.54
7.2,5114.22,6638.1,3425.91,3735.37,7247.61,8676.93,571.07,2811.01,325.69,928.791,2090.94,91.4943,7782.74,6783.91,9547.08,5410.31,5526.93
7.25,5115.61,6639.5,3427.3,3736.76,7249,8678.32,572.459,2812.4,327.082,930.188,2092.33,92.8832,7784.13,6785.3,9548.47,5411.68,5528.32
7.3,5117,6640.89,3428.69,3738.15,7250.39,8679.71,573.848,2813.79,328.474,931.585,2093.72,94.2721,7785.52,6786.69,9549.86,5413.05,5529.71
7.35,5118.39,6642.28,3430.08,3739.54,7251.78,8681.09,575.237,2815.18,329.866,932.982,2095.1,95.661,7786.91,6788.08,9551.25,5414.42,5531.1
7.4,5119.78,6643.67,3431.46,3740.93,7253.17,8682.48,576.626,2816.58,331.259,934.379,2096.49,97.0499,7788.3,6789.47,9552.65,5415.79,5532.49
7.45,5121.17,6645.06,3432.85,3742.32,7254.56,8683.87,578.014,2817.97,332.651,935.776,2097.88,98.4388,7789.7,6790.86,9554.04,5417.16,5533.88
7.5,5122.56,6646.46,3434.24,3743.71,7255.95,8685.26,579.403,2819.36,334.043,937.173,2099.27,99.8277,7791.09,6792.25,9555.43,5418.53,5535.26
7.55,5123.95,6647.85,3435.63,3745.11,7257.34,8686.65,580.792,2820.75,335.435,938.57,2100.66,101.217,7792.48,6793.64,9556.82,5419.9,5536.65
7.6,5125.33,6649.24,3437.02,3746.5,7258.73,8688.04,582.181,2822.14,336.827,939.967,2102.05,102.605,7793.87,6795.03,9558.21,5421.27,5538.04
7.65,5126.72,6650.63,3438.41,3747.89,7260.12,8689.43,583.57,2823.54,338.22,941.364,2103.44,103.994,7795.27,6796.42,9559.61,5422.65,5539.43
7.7,5128.11,6652.02,3439.8,3749.28,7261.5,8690.82,584.959,2824.93,339.612,942.761,2104.83,105.383,7796.66,6797.81,9561,5424.02,5540.82
7.75,5129.5,6653.41,3441.19,3750.67,7262.89,8692.21,586.348,2826.32,341.004,944.157,2106.22,106.772,7798.05,6799.2,9562.39,5425.39,5542.21
7.8,5130.89,6654.81,3442.58,3752.06,7264.28,8693.59,587.737,2827.71,342.396,945.554,2107.6,108.161,7799.44,6800.59,9563.78,5426.76,5543.6
7.85,5132.28,6656.2,3443.96,3753.45,7265.67,8694.98,589.126,2829.1,343.788,946.951,2108.99,109.55,7800.84,6801.98,9565.17,5428.13,5544.99
7.9,5133.67,6657.59,3445.35,3754.84,7267.06,8696.37,590.514,2830.5,345.18,948.348,2110.38,110.939,7802.23,6803.37,9566.57,5429.5,5546.38
7.95,5135.06,6658.98,3446.74,3756.24,7268.45,8697.76,591.903,2831.89,346.573,949.745,2111.77,112.328,7803.62,6804.76,9567.96,5430.87,5547.76
8,5136.45,6660.37,3448.13,3757.63,7269.84,8699.15,593.292,2833.28,347.965,951.142,2113.16,113.717,7805.01,6806.15,9569.35,5432.24,5549.15
