time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13
4.15,8558.91,2709.9,3041.1,5110.4,8374.26,2908.31,8690.31,7848.94,548.518,4821.02,7089.66,2137.3,813.488
4.2,8560.31,2711.29,3042.49,5111.79,8375.66,2909.7,8691.7,7850.32,549.907,4822.41,7091.05,2138.69,814.877
4.25,8561.7,2712.68,3043.88,5113.18,8377.06,2911.09,8693.09,7851.71,551.297,4823.8,7092.44,2140.08,816.267
4.3,8563.1,2714.07,3045.27,5114.57,8378.46,2912.48,8694.48,7853.1,552.687,4825.19,7093.83,2141.46,817.656
4.35,8564.49,2715.46,3046.65,5115.96,8379.86,2913.87,8695.87,7854.49,554.077,4826.59,7095.22,2142.85,819.045
4.4,8565.88,2716.85,3048.04,5117.35,8381.25,2915.27,8697.26,7855.88,555.467,4827.98,7096.61,2144.24,820.435
4.45,8567.28,2718.24,3049.43,5118.74,8382.65,2916.66,8698.65,7857.27,556.857,4829.37,7098,2145.63,821.824
4.5,8568.67,2719.63,3050.82,5120.13,8384.05,2918.05,8700.04,7858.66,558.247,4830.76,7099.39,2147.02,823.213
4.55,8570.07,2721.01,3052.21,5121.52,8385.45,2919.44,8701.43,7860.05,559.637,4832.15,7100.78,2148.41,824.603
4.6,8571.46,2722.4,3053.6,5122.91,8386.85,2920.83,8702.81,7861.44,561.026,4833.54,7102.17,2149.8,825.992
4.65,8572.86,2723.79,3054.99,5124.3,8388.25,2922.22,8704.2,7862.82,562.416,4834.94,7103.56,2151.19,827.381
4.7,8574.25,2725.18,3056.38,5125.69,8389.65,2923.61,8705.59,7864.21,563.806,4836.33,7104.96,2152.58,828.771
4.75,8575.65,2726.57,3057.77,5127.08,8391.04,2925,8706.98,7865.6,565.196,4837.72,7106.35,2153.97,830.16
4.8,8577.04,2727.96,3059.15,5128.47,8392.44,2926.4,8708.37,7866.99,566.586,4839.11,7107.74,2155.36,831.549
4.85,8578.43,2729.35,3060.54,5129.86,8393.84,2927.79,8709.76,7868.38,567.976,4840.5,7109.13,2156.75,832.938
4.9,8579.83,2730.74,3061.93,5131.25,8395.24,2929.18,8711.15,7869.77,569.366,4841.89,7110.52,2158.13,834.328
4.95,8581.22,2732.13,3063.32,5132.64,8396.64,2930.57,8712.54,7871.16,570.756,4843.29,7111.91,2159.52,835.717
5,8582.62,2733.51,3064.71,5134.03,8398.04,2931.96,8713.93,7872.55,572.146,4844.68,7113.3,2160.91,837.106
5.05,8584.01,2734.9,3066.1,5135.43,8399.43,2933.35,8715.31,7873.94,573.535,4846.07,7114.69,2162.3,838.496
5.1,8585.41,2736.29,3067.49,5136.82,8400.83,2934.74,8716.7,7875.32,574.925,4847.46,7116.08,2163.69,839.885
5.15,8586.8,2737.68,3068.88,5138.21,8402.23,2936.13,8718.09,7876.71,576.315,4848.85,7117.47,2165.08,841.274
5.2,8588.2,2739.07,3070.27,5139.6,8403.63,2937.53,8719.48,7878.1,577.705,4850.24,7118.86,2166.47,842.664
5.25,8589.59,2740.46,3071.65,5140.99,8405.03,2938.92,8720.87,7879.49,579.095,4851.63,7120.25,2167.86,844.053
5.3,8590.99,2741.85,3073.04,5142.38,8406.43,2940.31,8722.26,7880.88,580.485,4853.03,7121.64,2169.25,845.442
5.35,8592.38,2743.24,3074.43,5143.77,8407.83,2941.7,8723.65,7882.27,581.875,4854.42,7123.03,2170.64,846.832
5.4,8593.77,2744.63,3075.82,5145.16,8409.22,2943.09,8725.04,7883.66,583.265,4855.81,7124.42,2172.03,848.221
5.45,8595.17,2746.01,3077.21,5146.55,8410.62,2944.48,8726.43,7885.05,584.654,4857.2,7125.81,2173.42,849.61
5.5,8596.56,2747.4,3078.6,5147.94,8412.02,2945.87,8727.81,7886.44,586.044,4858.59,7127.2,2174.8,851
5.55,8597.96,2748.79,3079.99,5149.33,8413.42,2947.27,8729.2,7887.82,587.434,4859.98,7128.59,2176.19,852.389
5.6,8599.35,2750.18,3081.38,5150.72,8414.82,2948.66,8730.59,7889.21,588.824,4861.38,7129.98,2177.58,853.778
5.65,8600.75,2751.57,3082.77,5152.11,8416.22,2950.05,8731.98,7890.6,590.214,4862.77,7131.37,2178.97,855.168
5.7,8602.14,2752.96,3084.15,5153.5,8417.61,2951.44,8733.37,7891.99,591.604,4864.16,7132.76,2180.36,856.557
5.75,8603.54,2754.35,3085.54,5154.89,8419.01,2952.83,8734.76,7893.38,592.994,4865.55,7134.16,2181.75,857.946
5.8,8604.93,2755.74,3086.93,5156.28,8420.41,2954.22,8736.15,7894.77,594.384,4866.94,7135.55,2183.14,859.336
5.85,8606.32,2757.13,3088.32,5157.67,8421.81,2955.61,8737.54,7896.16,595.773,4868.33,7136.94,2184.53,860.725
5.9,8607.72,2758.51,3089.71,5159.07,8423.21,2957,8738.93,7897.55,597.163,4869.72,7138.33,2185.92,862.114
5.95,8609.11,2759.9,3091.1,5160.46,8424.61,2958.4,8740.31,7898.94,598.553,4871.12,7139.72,2187.31,863.504
6,8610.51,2761.29,3092.49,5161.85,8426.01,2959.79,8741.7,7900.32,599.943,4872.51,7141.11,2188.7,864.893
6.05,8611.9,2762.68,3093.88,5163.24,8427.4,2961.18,8743.09,7901.71,601.333,4873.9,7142.5,2190.09,866.282
6.1,8613.3,2764.07,3095.27,5164.63,8428.8,2962.57,8744.48,7903.1,602.723,4875.29,7143.89,2191.47,867.672
6.15,8614.69,2765.46,3096.65,5166.02,8430.2,2963.96,8745.87,7904.49,604.113,4876.68,7145.28,2192.86,869.061
6.2,8616.09,2766.85,3098.04,5167.41,8431.6,2965.35,8747.26,7905.88,605.503,4878.07,7146.67,2194.25,870.45
6.25,8617.48,2768.24,3099.43,5168.8,8433,2966.74,8748.65,7907.27,606.892,4879.47,7148.06,2195.64,871.84
