time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10
12.35,7506.84,2145.67,8576.3,2493.55,9582.02,2279.04,9316.04,6697.53,5513.18,6651.43
12.4,7508.23,2147.12,8577.7,2494.94,9583.41,2280.43,9317.44,6698.93,5514.57,6652.78
12.45,7509.62,2148.57,8579.1,2496.33,9584.8,2281.82,9318.84,6700.32,5515.96,6654.14
12.5,7511.02,2150.03,8580.5,2497.72,9586.19,2283.21,9320.24,6701.71,5517.35,6655.49
12.55,7512.41,2151.48,8581.9,2499.1,9587.58,2284.6,9321.64,6703.11,5518.74,6656.85
12.6,7513.8,2152.93,8583.3,2500.49,9588.97,2285.99,9323.04,6704.5,5520.13,6658.2
12.65,7515.19,2154.38,8584.69,2501.88,9590.36,2287.38,9324.44,6705.89,5521.52,6659.56
12.7,7516.59,2155.83,8586.09,2503.27,9591.75,2288.77,9325.84,6707.28,5522.91,6660.91
12.75,7517.98,2157.28,8587.49,2504.66,9593.14,2290.16,9327.24,6708.68,5524.3,6662.26
12.8,7519.37,2158.73,8588.89,2506.05,9594.52,2291.55,9328.64,6710.07,5525.69,6663.62
12.85,7520.77,2160.18,8590.29,2507.44,9595.91,2292.94,9330.04,6711.46,5527.08,6664.97
