time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14
3.5,9215.96,9257.51,2459.22,3986.47,4387.17,6161.12,1246.12,6430.32,7334.42,2049.04,2590.27,8455.86,5434.63,8320.07
3.55,9217.35,9258.9,2460.6,3987.86,4388.56,6162.52,1247.51,6431.71,7335.81,2050.43,2591.66,8457.25,5436.03,8321.46
3.6,9218.74,9260.29,2461.99,3989.25,4389.95,6163.92,1248.9,6433.1,7337.2,2051.82,2593.05,8458.64,5437.42,8322.85
3.65,9220.13,9261.67,2463.37,3990.64,4391.33,6165.31,1250.29,6434.49,7338.6,2053.21,2594.44,8460.03,5438.81,8324.24
3.7,9221.52,9263.06,2464.76,3992.03,4392.72,6166.71,1251.69,6435.88,7339.99,2054.6,2595.83,8461.41,5440.2,8325.63
3.75,9222.91,9264.45,2466.14,3993.42,4394.11,6168.11,1253.08,6437.26,7341.39,2055.99,2597.22,8462.8,5441.59,8327.02
3.8,9224.3,9265.84,2467.52,3994.81,4395.5,6169.5,1254.47,6438.65,7342.78,2057.38,2598.6,8464.19,5442.98,8328.41
3.85,9225.69,9267.23,2468.91,3996.2,4396.89,6170.9,1255.86,6440.04,7344.17,2058.76,2599.99,8465.58,5444.37,8329.8
3.9,9227.08,9268.62,2470.29,3997.59,4398.28,6172.3,1257.25,6441.43,7345.57,2060.15,2601.38,8466.97,5445.76,8331.19
3.95,9228.47,9270.01,2471.67,3998.98,4399.67,6173.69,1258.64,6442.82,7346.96,2061.54,2602.77,8468.36,5447.15,8332.58
4,9229.86,9271.4,2473.06,4000.37,4401.06,6175.09,1260.04,6444.21,7348.36,2062.93,2604.16,8469.75,5448.55,8333.97
4.05,9231.25,9272.79,2474.44,4001.76,4402.45,6176.49,1261.43,6445.6,7349.75,2064.32,2605.55,8471.14,5449.94,8335.36
4.1,9232.64,9274.17,2475.82,4003.15,4403.84,6177.88,1262.82,6446.99,7351.14,2065.71,2606.94,8472.53,5451.33,8336.75
4.15,9234.03,9275.56,2477.21,4004.54,4405.22,6179.28,1264.21,6448.38,7352.54,2067.1,2608.33,8473.91,5452.72,8338.14
4.2,9235.42,9276.95,2478.59,4005.93,4406.61,6180.68,1265.6,6449.76,7353.93,2068.49,2609.72,8475.3,5454.11,8339.53
4.25,9236.81,9278.34,2479.97,4007.32,4408,6182.07,1266.99,6451.15,7355.33,2069.88,2611.1,8476.69,5455.5,8340.92
4.3,9238.2,9279.73,2481.36,4008.71,4409.39,6183.47,1268.38,6452.54,7356.72,2071.26,2612.49,8478.08,5456.89,8342.31
4.35,9239.59,9281.12,2482.74,4010.09,4410.78,6184.86,1269.78,6453.93,7358.11,2072.65,2613.88,8479.47,5458.28,8343.7
4.4,9240.98,9282.51,2484.12,4011.48,4412.17,6186.26,1271.17,6455.32,7359.51,2074.04,2615.27,8480.86,5459.68,8345.09
4.45,9242.37,9283.9,2485.51,4012.87,4413.56,6187.66,1272.56,6456.71,7360.9,2075.43,2616.66,8482.25,5461.07,8346.48
4.5,9243.76,9285.29,2486.89,4014.26,4414.95,6189.05,1273.95,6458.1,7362.3,2076.82,2618.05,8483.64,5462.46,8347.87
4.55,9245.14,9286.67,2488.27,4015.65,4416.34,6190.45,1275.34,6459.49,7363.69,2078.21,2619.44,8485.03,5463.85,8349.26
4.6,9246.53,9288.06,2489.66,4017.04,4417.72,6191.85,1276.73,6460.88,7365.08,2079.6,2620.83,8486.42,5465.24,8350.65
4.65,9247.92,9289.45,2491.04,4018.43,4419.11,6193.24,1278.13,6462.26,7366.48,2080.99,2622.22,8487.8,5466.63,8352.04
4.7,9249.31,9290.84,2492.42,4019.82,4420.5,6194.64,1279.52,6463.65,7367.87,2082.38,2623.6,8489.19,5468.02,8353.43
4.75,9250.7,9292.23,2493.81,4021.21,4421.89,6196.04,1280.91,6465.04,7369.27,2083.76,2624.99,8490.58,5469.41,8354.82
4.8,9252.09,9293.62,2495.19,4022.6,4423.28,6197.43,1282.3,6466.43,7370.66,2085.15,2626.38,8491.97,5470.8,8356.21
4.85,9253.48,9295.01,2496.57,4023.99,4424.67,6198.83,1283.69,6467.82,7372.05,2086.54,2627.77,8493.36,5472.2,8357.6
4.9,9254.87,9296.4,2497.96,4025.38,4426.06,6200.23,1285.08,6469.21,7373.45,2087.93,2629.16,8494.75,5473.59,8358.99
4.95,9256.26,9297.79,2499.34,4026.77,4427.45,6201.62,1286.48,6470.6,7374.84,2089.32,2630.55,8496.14,5474.98,8360.38
5,9257.65,9299.17,2500.72,4028.16,4428.84,6203.02,1287.87,6471.99,7376.24,2090.71,2631.94,8497.53,5476.37,8361.77
5.05,9259.04,9300.56,2502.11,4029.55,4430.22,6204.41,1289.26,6473.38,7377.63,2092.1,2633.33,8498.92,5477.76,8363.16
5.1,9260.43,9301.95,2503.49,4030.94,4431.61,6205.81,1290.65,6474.76,7379.02,2093.49,2634.72,8500.31,5479.15,8364.55
5.15,9261.82,9303.34,2504.87,4032.33,4433,6207.21,1292.04,6476.15,7380.42,2094.88,2636.1,8501.69,5480.54,8365.94
5.2,9263.21,9304.73,2506.26,4033.72,4434.39,6208.6,1293.43,6477.54,7381.81,2096.26,2637.49,8503.08,5481.93,8367.33
5.25,9264.6,9306.12,2507.64,4035.11,4435.78,6210,1294.82,6478.93,7383.21,2097.65,2638.88,8504.47,5483.32,8368.72
5.3,9265.99,9307.51,2509.02,4036.5,4437.17,6211.4,1296.22,6480.32,7384.6,2099.04,2640.27,8505.86,5484.72,8370.11
5.35,9267.38,9308.9,2510.41,4037.89,4438.56,6212.79,1297.61,6481.71,7385.99,2100.43,2641.66,8507.25,5486.11,8371.5
5.4,9268.77,9310.29,2511.79,4039.28,4439.95,6214.19,1299,6483.1,7387.39,2101.82,2643.05,8508.64,5487.5,8372.89
5.45,9270.16,9311.67,2513.18,4040.67,4441.34,6215.59,1300.39,6484.49,7388.78,2103.21,2644.44,8510.03,5488.89,8374.28
5.5,9271.55,9313.06,2514.56,4042.05,4442.72,6216.98,1301.78,6485.88,7390.18,2104.6,2645.83,8511.42,5490.28,8375.67
5.55,9272.94,9314.45,2515.94,4043.44,4444.11,6218.38,1303.17,6487.26,7391.57,2105.99,2647.22,8512.81,5491.67,8377.06
5.6,9274.33,9315.84,2517.33,4044.83,4445.5,6219.78,1304.57,6488.65,7392.96,2107.38,2648.6,8514.19,5493.06,8378.45
5.65,9275.72,9317.23,2518.71,4046.22,4446.89,6221.17,1305.96,6490.04,7394.36,2108.76,2649.99,8515.58,5494.45,8379.84
5.7,9277.11,9318.62,2520.09,4047.61,4448.28,6222.57,1307.35,6491.43,7395.75,2110.15,2651.38,8516.97,5495.85,8381.23
5.75,9278.5,9320.01,2521.48,4049,4449.67,6223.97,1308.74,6492.82,7397.15,2111.54,2652.77,8518.36,5497.24,8382.62
5.8,9279.89,9321.4,2522.86,4050.39,4451.06,6225.36,1310.13,6494.21,7398.54,2112.93,2654.16,8519.75,5498.63,8384.01
5.85,9281.28,9322.79,2524.24,4051.78,4452.45,6226.76,1311.52,6495.6,7399.93,2114.32,2655.55,8521.14,5500.02,8385.4
5.9,9282.67,9324.17,2525.63,4053.17,4453.84,6228.15,1312.92,6496.99,7401.33,2115.71,2656.94,8522.53,5501.41,8386.79
5.95,9284.06,9325.56,2527.01,4054.56,4455.23,6229.55,1314.31,6498.38,7402.72,2117.1,2658.33,8523.92,5502.8,8388.18
6,9285.45,9326.95,2528.39,4055.95,4456.61,6230.95,1315.7,6499.76,7404.12,2118.49,2659.72,8525.31,5504.19,8389.57
6.05,9286.84,9328.34,2529.78,4057.34,4458,6232.34,1317.09,6501.15,7405.51,2119.88,2661.1,8526.7,5505.58,8390.96
6.1,9288.23,9329.73,2531.16,4058.73,4459.39,6233.74,1318.48,6502.54,7406.9,2121.26,2662.49,8528.08,5506.97,8392.35
6.15,9289.62,9331.12,2532.54,4060.12,4460.78,6235.14,1319.87,6503.93,7408.3,2122.65,2663.88,8529.47,5508.37,8393.74
6.2,9291.01,9332.51,2533.93,4061.51,4462.17,6236.53,1321.26,6505.32,7409.69,2124.04,2665.27,8530.86,5509.76,8395.13
6.25,9292.4,9333.9,2535.31,4062.9,4463.56,6237.93,1322.66,6506.71,7411.09,2125.43,2666.66,8532.25,5511.15,8396.52
6.3,9293.79,9335.29,2536.69,4064.29,4464.95,6239.33,1324.05,6508.1,7412.48,2126.82,2668.05,8533.64,5512.54,8397.91
6.35,9295.18,9336.67,2538.08,4065.68,4466.34,6240.72,1325.44,6509.49,7413.87,2128.21,2669.44,8535.03,5513.93,8399.3
6.4,9296.57,9338.06,2539.46,4067.07,4467.73,6242.12,1326.83,6510.88,7415.27,2129.6,2670.83,8536.42,5515.32,8400.69
6.45,9297.96,9339.45,2540.84,4068.46,4469.11,6243.52,1328.22,6512.26,7416.66,2130.99,2672.22,8537.81,5516.71,8402.08
6.5,9299.35,9340.84,2542.23,4069.85,4470.5,6244.91,1329.61,6513.65,7418.06,2132.38,2673.6,8539.2,5518.1,8403.47
6.55,9300.74,9342.23,2543.61,4071.24,4471.89,6246.31,1331.01,6515.04,7419.45,2133.76,2674.99,8540.58,5519.5,8404.86
6.6,9302.13,9343.62,2544.99,4072.63,4473.28,6247.71,1332.4,6516.43,7420.84,2135.15,2676.38,8541.97,5520.89,8406.25
6.65,9303.52,9345.01,2546.38,4074.01,4474.67,6249.1,1333.79,6517.82,7422.24,2136.54,2677.77,8543.36,5522.28,8407.64
6.7,9304.91,9346.4,2547.76,4075.4,4476.06,6250.5,1335.18,6519.21,7423.63,2137.93,2679.16,8544.75,5523.67,8409.02
6.75,9306.3,9347.79,2549.14,4076.79,4477.45,6251.89,1336.57,6520.6,7425.03,2139.32,2680.55,8546.14,5525.06,8410.41
6.8,9307.69,9349.17,2550.53,4078.18,4478.84,6253.29,1337.96,6521.99,7426.42,2140.71,2681.94,8547.53,5526.45,8411.8
6.85,9309.08,9350.56,2551.91,4079.57,4480.23,6254.69,1339.36,6523.38,7427.81,2142.1,2683.33,8548.92,5527.84,8413.19
6.9,9310.46,9351.95,2553.29,4080.96,4481.61,6256.08,1340.75,6524.76,7429.21,2143.49,2684.72,8550.31,5529.23,8414.58
6.95,9311.85,9353.34,2554.68,4082.35,4483,6257.48,1342.14,6526.15,7430.6,2144.88,2686.1,8551.7,5530.62,8415.97
7,9313.24,9354.73,2556.06,4083.74,4484.39,6258.88,1343.53,6527.54,7432,2146.26,2687.49,8553.09,5532.02,8417.36
7.05,9314.63,9356.12,2557.45,4085.13,4485.78,6260.27,1344.92,6528.93,7433.39,2147.65,2688.88,8554.47,5533.41,8418.75
7.1,9316.02,9357.51,2558.83,4086.52,4487.17,6261.67,1346.31,6530.32,7434.79,2149.04,2690.27,8555.86,5534.8,8420.14
7.15,9317.41,9358.9,2560.21,4087.91,4488.56,6263.07,1347.7,6531.71,7436.18,2150.43,2691.66,8557.25,5536.19,8421.53
7.2,9318.8,9360.29,2561.6,4089.3,4489.95,6264.46,1349.1,6533.1,7437.57,2151.82,2693.05,8558.64,5537.58,8422.92
7.25,9320.19,9361.67,2562.98,4090.69,4491.34,6265.86,1350.49,6534.49,7438.97,2153.21,2694.44,8560.03,5538.97,8424.31
7.3,9321.58,9363.06,2564.36,4092.08,4492.73,6267.26,1351.88,6535.88,7440.36,2154.6,2695.83,8561.42,5540.36,8425.7
7.35,9322.97,9364.45,2565.75,4093.47,4494.11,6268.65,1353.27,6537.26,7441.76,2155.99,2697.22,8562.81,5541.75,8427.09
7.4,9324.36,9365.84,2567.13,4094.86,4495.5,6270.05,1354.66,6538.65,7443.15,2157.38,2698.6,8564.2,5543.15,8428.48
7.45,9325.75,9367.23,2568.51,4096.25,4496.89,6271.45,1356.05,6540.04,7444.54,2158.76,2699.99,8565.59,5544.54,8429.87
7.5,9327.14,9368.62,2569.9,4097.64,4498.28,6272.84,1357.45,6541.43,7445.94,2160.15,2701.38,8566.97,5545.93,8431.26
7.55,9328.53,9370.01,2571.28,4099.03,4499.67,6274.24,1358.84,6542.82,7447.33,2161.54,2702.77,8568.36,5547.32,8432.65
